ID,英文詞彙,中文詞彙,更新日期
21409553,aflata,熟面团,2026-08-07
21409554,aflatoxins,黄曲毒素,2026-08-07
21409555,African breadfruit,非洲面包果,2026-08-07
21409556,aftertaste,余味；后味,2026-08-07
21409557,agalactia,乳液缺乏,2026-08-07
21409558,agar,洋菜；琼脂,2026-08-07
21409559,agave nectar,龙舌兰糖浆,2026-08-07
21409560,ageing,熟成；老化；陈化,2026-08-07
21409561,ageusia,味觉缺失,2026-08-07
21409562,agglomerated flour,造粒面粉,2026-08-07
21409563,agglomeration,黏聚；造粒,2026-08-07
21409564,agglutination,凝集；凝集作用,2026-08-07
21409565,agglutinin,凝集素,2026-08-07
21409566,aglycone,糖苷配基,2026-08-07
21409567,AGORA,AGORA 分散式物件导向语言,2026-08-07
21409568,Agrobacterium tumefaciens,农杆菌,2026-08-07
21409569,agrodolce,义大利甜酸酱,2026-08-07
21409570,agroecology,农业生态学,2026-08-07
21409571,aguardiente,烈馏酒,2026-08-07
21409572,AI,人工智慧,2026-08-07
21409573,aileron,副翼,2026-08-07
21409574,air potato,黄独；黄药子,2026-08-07
21409575,aji,南美辣椒,2026-08-07
21409576,Ajinomoto,味素,2026-08-07
21409577,ajowan,香旱芹,2026-08-07
21409578,akvavit,阿夸维特酒 {一种蒸馏酒},2026-08-07
21409579,ala,麦粉汤；翼；腋,2026-08-07
21409580,alactasia,乳糖酶缺乏症,2026-08-07
21409581,alanine,丙胺酸　,2026-08-07
21409582,alant starch,菊粉,2026-08-07
21409583,albacore,长鳍鲔,2026-08-07
21409584,albedo,柑橘类中果皮,2026-08-07
21409585,albumin,白蛋白,2026-08-07
21409586,albumin index,白蛋白指数,2026-08-07
21409587,albumin milk,蛋白乳,2026-08-07
21409588,albuminuria,白蛋白尿,2026-08-07
21409589,alcohol,乙醇；酒精,2026-08-07
21409590,alcohol stability test of milk,生乳酒精安定性试验,2026-08-07
21409591,alcohol units,酒精单位,2026-08-07
21409592,alcoholic beverage,酒精性饮料,2026-08-07
21409593,alcoholism,酒精中毒,2026-08-07
21409594,alditol,醛糖醇,2026-08-07
21409595,aldose,醛糖,2026-08-07
21409596,aldosterone,醛固酮,2026-08-07
21409597,ale,艾尔啤酒,2026-08-07
21409598,aleurone layer,糊粉层,2026-08-07
21409599,alfalfa,苜蓿；紫花苜蓿,2026-08-07
21409600,algae,藻类,2026-08-07
21409601,algérienne,阿尔及利尔厚呢,2026-08-07
21409602,algin,褐藻胶,2026-08-07
21409603,alginate,褐藻酸盐；褐藻酸酯,2026-08-07
21409604,alginic acid,褐藻酸,2026-08-07
21409605,alimentary canal,消化道,2026-08-07
21409606,alimentary paste,面团,2026-08-07
21409607,alitame,人工合成甜味剂 {双胜肽},2026-08-07
21409608,alkali,碱,2026-08-07
21409609,alkali former,碱生成物,2026-08-07
21409610,alkali reserve,碱储量,2026-08-07
21409611,alkaline ionized water,碱性离子水,2026-08-07
21409612,alkaline phosphatase,碱性磷酸酯酶；碱性磷酸酶,2026-08-07
21409613,alkaline tide,碱潮；暂碱尿,2026-08-07
21409614,alkaloid,生物碱,2026-08-07
21409615,alkalosis,碱血症；碱中毒,2026-08-07
21409616,all purpose flour,中筋面粉,2026-08-07
21409617,allantoin,尿囊素,2026-08-07
21409618,allele,对偶基因,2026-08-07
21409619,allergen,过敏原,2026-08-07
21409620,allergy,过敏症,2026-08-07
21409621,allicin,蒜素,2026-08-07
21409622,alligator pear,酪梨；鳄梨；油梨；奶油果；樟梨,2026-08-07
21409623,allotriophagy,异食癖,2026-08-07
21409624,allspice,众香子；多香果；五香粉,2026-08-07
21409625,allura red,食用红色四十号色素,2026-08-07
21409626,almond,杏仁；扁桃；杏树,2026-08-07
21409627,almond oil,杏仁油；扁桃油,2026-08-07
21409628,almond paste,杏仁糊,2026-08-07
21409629,alpine scurvy,玉蜀黍中毒,2026-08-07
21409630,alpine strawberry,野草莓,2026-08-07
21409631,alum,矾；明矾,2026-08-07
21409632,aluminium,铝,2026-08-07
21409633,Amadori compounds,安玛多立化合物,2026-08-07
21409634,amaranth,苋菜；苋菜红色素,2026-08-07
21409635,Amaranthus,苋属,2026-08-07
21409636,amchoor,青芒果干；青芒果粉,2026-08-07
21409637,amchur,青芒果干；青芒果粉,2026-08-07
21409638,American Public Health Association (APHA),美国公共卫生协会,2026-08-07
21409639,Ames test,安氏试验 {细菌突变试验},2026-08-07
21409640,amidated pectin,醯胺化果胶,2026-08-07
21409641,amide,醯胺,2026-08-07
21409642,amine,胺类,2026-08-07
21409643,amine-precursor uptake and decarboxylation cell (APUD cell),摄取胺前驱物脱羧细胞,2026-08-07
21409644,amino acid,胺基酸,2026-08-07
21409645,amino acid disorders,胺基酸代谢疾病,2026-08-07
21409646,amino acid profile,胺基酸组成,2026-08-07
21409647,amino group,胺基,2026-08-07
21409648,amino sugars,胺糖,2026-08-07
21409649,aminoaciduria,胺基酸尿,2026-08-07
21409650,aminogram,胺基酸图谱,2026-08-07
21409651,aminopeptidase,胺肽酶,2026-08-07
21409652,aminotransferase,转胺酶,2026-08-07
21409653,amoebiasis,变形虫症；阿米巴症,2026-08-07
21409654,amomum,砂仁；豆蔻类,2026-08-07
21409655,amontillado,白雪莉酒,2026-08-07
21409656,amour,缎纹亚麻布 {法国制},2026-08-07
21409657,ampelography,葡萄分类学,2026-08-07
21409658,amphetamine,安非他命,2026-08-07
21409659,amygdalin,苦杏仁苷,2026-08-07
21409660,amylase,淀粉酶,2026-08-07
21409661,amyli,干罗望子,2026-08-07
21409662,amylin,糊精,2026-08-07
21409663,amylodyspepsia,淀粉消化不良症,2026-08-07
21409664,amyloins,麦芽糖糊精,2026-08-07
21409665,amylopectin,支链淀粉,2026-08-07
21409666,amylopeptic,支链淀粉酶,2026-08-07
21409667,amylose,直链淀粉,2026-08-07
21409668,amylum,增稠淀粉,2026-08-07
21409669,anabolic hormones,合成代谢激素,2026-08-07
21409670,anabolism,同化作用,2026-08-07
21409671,anaemia,贫血,2026-08-07
21409672,anaerobe,厌气菌；嫌气菌,2026-08-07
21409673,anaerobic threshold,无氧阈值,2026-08-07
21409674,anandamide,花生四烯乙醇胺 {内源性大麻醇类神经传导物质},2026-08-07
21409675,anardana,石榴种子,2026-08-07
21409676,anastomosis,吻合；接合,2026-08-07
21409677,anatto,胭脂素,2026-08-07
21409678,ancho,心形辣椒,2026-08-07
21409679,anchoveta,太平洋鲸鳀,2026-08-07
21409680,anchovy,鳀鱼,2026-08-07
21409681,andalouse,法式沾酱 {番茄、美乃滋和辣椒组成},2026-08-07
21409682,andouille,法式香肠,2026-08-07
21409683,aneurine,维生素B1；硫胺素,2026-08-07
21409684,angel's hair,细义大利面,2026-08-07
21409685,angels on horseback,马背上的天使 {牡蛎培根卷},2026-08-07
21409686,angiotensin,血管收缩素,2026-08-07
21409687,angiotensin converting enzyme (ACE),血管紧缩素转化酶,2026-08-07
21409688,angkak,红曲色素,2026-08-07
21409689,anglerfish,𩽾𩾌鱼,2026-08-07
21409690,Angostura,浓缩苦酒,2026-08-07
21409691,angular stomatitis,口角炎,2026-08-07
21409692,Animal and Plant Health Inspection Service (APHIS),美国动植物卫生检验署,2026-08-07
21409693,animal charcoal,骨炭,2026-08-07
21409694,animal starch,动物淀粉,2026-08-07
21409695,anion,阴离子,2026-08-07
21409696,anisakiasis,胃线虫症,2026-08-07
21409697,anise,大茴香；洋茴香；茴芹,2026-08-07
21409698,aniseed,大茴香子,2026-08-07
21409699,anisette,大茴香酒,2026-08-07
21409700,annatto,胭脂素,2026-08-07
21409701,anorexia,厌食症,2026-08-07
21409702,anorexia nervosa,神经性厌食症,2026-08-07
21409703,anosmia,嗅觉缺失,2026-08-07
21409704,anserine,甲肌肽,2026-08-07
21409705,antacids,制酸剂,2026-08-07
21409706,anthelmintics,驱蠕虫剂,2026-08-07
21409707,anthocyanin,花青素,2026-08-07
21409708,anthoxanthins,花黄素,2026-08-07
21409709,anthropometry,人体测量学,2026-08-07
21409710,antibiotics,抗生素,2026-08-07
21409711,antibodies,抗体,2026-08-07
21409712,anti-caking agents,抗结块剂,2026-08-07
21409713,anticarcinogen,抗致癌物,2026-08-07
21409714,anticoagulants,抗凝剂,2026-08-07
21409715,anticodon,反密码子,2026-08-07
21409716,antidiarrhoeal,止泻剂,2026-08-07
21409717,antidiuretic,抗利尿剂,2026-08-07
21409718,antiemetic,止吐剂,2026-08-07
21409719,antienzyme,抗酵素；抗酶,2026-08-07
21409720,antifoaming agent,消泡剂；除沫剂,2026-08-07
21409721,antifreeze protein,抗冻蛋白质,2026-08-07
21409722,antigen,抗原,2026-08-07
21409723,anti-grey-hair factor,抗白发因子,2026-08-07
21409724,antihaemorrhagic vitamin,抗出血维生素,2026-08-07
21409725,antihistamine,抗组织胺,2026-08-07
21409726,antihypertensive  agent,降血压剂,2026-08-07
21409727,antilipidemic agent,降血脂剂,2026-08-07
21409728,antimetabolite,抗代谢物,2026-08-07
21409729,antimicrobial agent,抗微生物剂,2026-08-07
21409730,antimony,锑,2026-08-07
21409731,antimotility agent,抗肠蠕动剂,2026-08-07
21409732,anti-mould agents,抗霉剂,2026-08-07
21409733,antimutagen,抗诱变剂,2026-08-07
21409734,antimycotics,抗霉剂,2026-08-07
21409735,antineuritic vitamin,抗神经炎维生素,2026-08-07
21409736,antioxidant,抗氧化剂,2026-08-07
21409737,antioxidant nutrients,抗氧化营养素,2026-08-07
21409738,antiscorbutic vitamin,抗坏血病维生素,2026-08-07
21409739,antisialagogues,制唾剂；止涎剂,2026-08-07
21409740,anti-spattering agent,防溅剂,2026-08-07
21409741,anti-staling agent,抗老化剂,2026-08-07
21409742,antivitamin,抗维生素,2026-08-07
21409743,antixerophthalmic vitamin,抗干眼维生素,2026-08-07
21409744,aortic aneurysm,主动脉瘤,2026-08-07
21409745,apastia,禁食；忌食,2026-08-07
21409746,aperient,通便药,2026-08-07
21409747,apéritif wine,餐前酒,2026-08-07
21409748,aphagia,吞咽不能；失咽症,2026-08-07
21409749,aphagosis,不能进食,2026-08-07
21409750,apiculture,养蜂业,2026-08-07
21409751,apios,土𪢮儿,2026-08-07
21409752,aplasia,发育不全,2026-08-07
21409753,apo-carotenal,阿卜胡萝卜醛,2026-08-07
21409754,apoenzyme,缺辅基酶,2026-08-07
21409755,apolipoprotein,缺脂脂蛋白；脂蛋白元,2026-08-07
21409756,apoprotein,缺辅基蛋白,2026-08-07
21409757,apoptosis,细胞凋亡,2026-08-07
21409758,aposia,不渴症,2026-08-07
21409759,apositia,厌食症,2026-08-07
21409760,appertization,商业灭菌法,2026-08-07
21409761,appestat,下视丘食欲调节区,2026-08-07
21409762,appetite control,食欲控制,2026-08-07
21409763,apple,苹果,2026-08-07
21409764,apple brandy,苹果白兰地,2026-08-07
21409765,apple butter,苹果酱,2026-08-07
21409766,apple jack,苹果白兰地,2026-08-07
21409767,apple mint,苹果薄荷,2026-08-07
21409768,apple nuggets,干苹果粒,2026-08-07
21409769,apple sauce,苹果酱,2026-08-07
21409770,apple-pear,苹果梨,2026-08-07
21409771,apricot,杏,2026-08-07
21409772,aprium,杏李,2026-08-07
21409773,aquaculture,水产养殖,2026-08-07
21409774,aquamiel,龙舌兰蜜,2026-08-07
21409775,aquaporins,水孔蛋白,2026-08-07
21409776,aquavit,加味蒸馏酒,2026-08-07
21409777,arabinogalactan,阿拉伯半乳聚糖,2026-08-07
21409778,arabinoxylans,阿拉伯木聚糖,2026-08-07
21409779,arabitol,阿拉伯胶醇,2026-08-07
21409780,araboascorbic acid,阿拉伯抗坏血酸,2026-08-07
21409781,arachidonic acid,二十碳四烯酸；花生油酸,2026-08-07
21409782,arachis oil,花生油,2026-08-07
21409783,Arbroath smokie,烟熏鳕鱼,2026-08-07
21409784,arbute,杨梅,2026-08-07
21409785,archaea,古细菌,2026-08-07
21409786,Arcobacter,类弯曲杆菌；弓形杆菌,2026-08-07
21409787,arctic cisco,秋白鲑,2026-08-07
21409788,areca nut,槟榔,2026-08-07
21409789,arepas,玉米面包,2026-08-07
21409790,argan,摩洛哥坚果,2026-08-07
21409791,argemone oil,蓟叶罂粟油,2026-08-07
21409792,argentines,水珍鱼,2026-08-07
21409793,argininaemia,精胺酸血症,2026-08-07
21409794,arginine,精胺酸,2026-08-07
21409795,argininosuccinic aciduria,精胺基琥珀酸尿症,2026-08-07
21409796,argol,酒石；齿石,2026-08-07
21409797,ariboflavinosis,核黄素缺乏症；维生素B2缺乏症,2026-08-07
21409798,ark clam,赤贝,2026-08-07
21409799,arkshell,赤贝,2026-08-07
21409800,armagnac,阿玛白兰地,2026-08-07
21409801,aromatic amino acid,芳香族胺基酸,2026-08-07
21409802,aromatics,芳香族化合物,2026-08-07
21409803,aronia berry,野樱莓,2026-08-07
21409804,arracacha,秘鲁胡萝卜,2026-08-07
21409805,arrowhead,茨菰；慈姑,2026-08-07
21409806,arrowroot,葛郁金；粉薯,2026-08-07
21409807,arroz fermentado,发酵米饭,2026-08-07
21409808,arsenic,砷,2026-08-07
21409809,arteriosclerosis,动脉硬化症,2026-08-07
21409810,artichoke ,朝鲜蓟,2026-08-07
21409811,artificial cream,人工乳脂,2026-08-07
21409812,artificial sweetener,人工甜味剂,2026-08-07
21409813,arum starch,蒟蒻,2026-08-07
21409814,ascites,腹水症,2026-08-07
21409815,ascorbic acid,抗坏血酸；维生素C,2026-08-07
21409816,ascorbic acid oxidase,抗坏血酸氧化酶,2026-08-07
21409817,ascorbin,抗坏血酸钠,2026-08-07
21409818,ascorbyl palmitate,抗坏血酸棕榈酸酯,2026-08-07
21409819,aseptic filling,无菌充填,2026-08-07
21409820,aseptic processing,无菌操作,2026-08-07
21409821,ash,灰份,2026-08-07
21409822,Asian pear,东方梨,2026-08-07
21409823,asparagine,天冬醯胺酸；天门冬醯胺酸,2026-08-07
21409824,asparagus,芦笋；石刁柏,2026-08-07
21409825,asparagus bean,长豇豆；菜豆,2026-08-07
21409826,asparagus pea,四角豆,2026-08-07
21409827,aspartame,阿斯巴甜 {双肽甜味料},2026-08-07
21409828,aspartic acid,天冬胺酸；天门冬胺酸,2026-08-07
21409829,Aspergillus,曲菌属,2026-08-07
21409830,aspic,肉冻,2026-08-07
21409831,assiette anglaise,冷肉拼盘,2026-08-07
21409832,Association for Nutrition,营养学学会,2026-08-07
21409833,Association of Official Analytical Chemists (AOAC),美国公认分析化学会,2026-08-07
21409834,astaxanthin,还原虾红素,2026-08-07
21409835,astringency,收敛性；涩味,2026-08-07
21409836,atemoya,凤梨释迦,2026-08-07
21409837,atherogenic,致动脉粥状硬化物,2026-08-07
21409838,atheroma,动脉粥状瘤,2026-08-07
21409839,atherosclerosis,动脉粥状硬化,2026-08-07
21409840,Atkins diet,阿金膳食法,2026-08-07
21409841,atomic absorption spectroscopy,原子吸收光谱学,2026-08-07
21409842,atomic emission spectroscopy,原子放射光谱学,2026-08-07
21409843,atomization,雾化,2026-08-07
21409844,atomizer,雾化器,2026-08-07
21409845,atopy,特异反应性,2026-08-07
21409846,ATP,腺苷三磷酸；腺核苷三磷酸,2026-08-07
21409847,ATPases,ATP酶,2026-08-07
21409848,atrophy,萎缩,2026-08-07
21409849,attention deficit hyperactivity disorder (ADHD),注意力不足过动症,2026-08-07
21409850,attributable risk,可归因危险性,2026-08-07
21409851,attrition milling,碾磨粉碎,2026-08-07
21409852,aubergine,茄子,2026-08-07
21409853,Australian chestnut,澳洲板栗；澳洲甜栗,2026-08-07
21409854,autoclave,杀菌釜,2026-08-07
21409855,autocrine,自泌作用,2026-08-07
21409856,autoimmune diseases,自体免疫疾病,2026-08-07
21409857,autolysis,自解；自溶；自体消化,2026-08-07
21409858,autosomal,体染色体的,2026-08-07
21409859,autotrophes,自营性生物,2026-08-07
21409860,autoxidation,自氧化,2026-08-07
21409861,auxotrophe,营养缺陷株,2026-08-07
21409862,availability,有效性；有效度；可用性,2026-08-07
21409863,available carbon dioxide,可利用的二氧化碳；有效二氧化碳,2026-08-07
21409864,available nutrients,有效营养素,2026-08-07
21409865,avenalin,燕麦蛋白,2026-08-07
21409866,avern jelly,野草莓酱,2026-08-07
21409867,aversion to foods,厌食,2026-08-07
21409868,avicel,结晶性纤维素,2026-08-07
21409869,avidin,抗生物素蛋白,2026-08-07
21409870,avitaminosis,维生素缺乏症,2026-08-07
21409871,avocado,酪梨；鳄梨；油梨,2026-08-07
21409872,ayu,香鱼,2026-08-07
21409873,azeotrope,共沸液,2026-08-07
21409874,azodicarbonamide,偶氮二甲醯胺；偶氮甲醯胺,2026-08-07
21409875,azorubin,蓝光酸性红；偶氮玉红,2026-08-07
21409876,azorubine,蓝光酸性红；偶氮玉红,2026-08-07
21409877,azotaemia,氮血；氮血症,2026-08-07
21409878,Babcock test,贝氏乳脂试验,2026-08-07
21409879,babirusa,鹿猪,2026-08-07
21409880,baby foods,婴幼儿食品,2026-08-07
21409881,bacalao,咸鳕鱼干,2026-08-07
21409882,Bacillus cereus,仙人掌芽孢杆菌；仙人掌杆菌,2026-08-07
21409883,bacon,培根；腌肉,2026-08-07
21409884,bacoreta,黑肉鲔,2026-08-07
21409885,bacteria,细菌,2026-08-07
21409886,bacterial count,细菌数；细菌计数,2026-08-07
21409887,bacterial filter,滤菌器,2026-08-07
21409888,bacterial spores,孢子,2026-08-07
21409889,bacteriocins,细菌素,2026-08-07
21409890,bacteriophage,噬菌体,2026-08-07
21409891,bacteriostat,静菌剂,2026-08-07
21409892,Bacterium aceti,醋酸菌,2026-08-07
21409893,bactometer,细菌检测仪,2026-08-07
21409894,bael,硬皮橘；木橘,2026-08-07
21409895,bagasse,蔗渣,2026-08-07
21409896,bagel,贝果,2026-08-07
21409897,bagna cauda,义式沾酱,2026-08-07
21409898,bagoong,菲律宾鱼酱,2026-08-07
21409899,baguette,法式长棍面包,2026-08-07
21409900,baharat,北非香辛料,2026-08-07
21409901,bain-marie,水浴保温器,2026-08-07
21409902,baiser,蛋白霜饼,2026-08-07
21409903,baked Alaska,火烧冰淇淋；热烤阿拉斯加,2026-08-07
21409904,baked bean,烩豆,2026-08-07
21409905,baker's cheese,发酵干酪,2026-08-07
21409906,baker's yeast glycan,烘焙酵母聚糖,2026-08-07
21409907,bakes,炸比司吉,2026-08-07
21409908,Bakewell tart,杏仁塔,2026-08-07
21409909,baking,烘焙；烘烤,2026-08-07
21409910,baking additives,烘烤添加物,2026-08-07
21409911,baking banana,大蕉,2026-08-07
21409912,baking blind,盲烤,2026-08-07
21409913,baking powder,发粉；焙粉,2026-08-07
21409914,baking soda,小苏打,2026-08-07
21409915,baklava,果仁蜜饼,2026-08-07
21409916,balance,均衡；平衡,2026-08-07
21409917,balanced plate,均衡餐盘,2026-08-07
21409918,ball mill,球磨机,2026-08-07
21409919,ballekes,酒炖肉丸,2026-08-07
21409920,ballottine,肉卷,2026-08-07
21409921,balsam pear,苦瓜,2026-08-07
21409922,balsamic vinegar,义大利香醋；巴萨米克醋,2026-08-07
21409923,balti,巴尔蒂 {咖哩料理},2026-08-07
21409924,bamboo shoots,竹笋,2026-08-07
21409925,bamboo tea,竹叶茶,2026-08-07
21409926,bami goreng,南洋炒面,2026-08-07
21409927,bamies,秋葵,2026-08-07
21409928,banaba,大花紫薇茶,2026-08-07
21409929,banana,香蕉,2026-08-07
21409930,banana fig,香蕉干,2026-08-07
21409931,Banbury cake,班伯里饼,2026-08-07
21409932,banga,棕榈汤,2026-08-07
21409933,bangers,香肠,2026-08-07
21409934,banku,迦纳面团,2026-08-07
21409935,bannock,麦饼,2026-08-07
21409936,Bantu beer,小米啤酒；班图啤酒,2026-08-07
21409937,baobab,猢狲面；猢猴面,2026-08-07
21409938,bap,小面包,2026-08-07
21409939,bara brith,斑点面包,2026-08-07
21409940,bara lawr,海藻面包,2026-08-07
21409941,Barbados cherry,西印度樱桃,2026-08-07
21409942,barbecue,烤肉；烧烤,2026-08-07
21409943,barbecue sauce,烤肉酱；烧烤酱,2026-08-07
21409944,barbera,巴贝拉葡萄,2026-08-07
21409945,Barcelona nut,巴塞隆纳坚果,2026-08-07
21409946,barding,培根包制,2026-08-07
21409947,barfi,印度甜点,2026-08-07
21409948,bariatrics,减肥治疗,2026-08-07
21409949,barium,钡,2026-08-07
21409950,Barker hypothesis,贝克假说,2026-08-07
21409951,barley,大麦,2026-08-07
21409952,barley sugar,麦芽糖,2026-08-07
21409953,barley water,麦茶,2026-08-07
21409954,barley wine,大麦酒,2026-08-07
21409955,barleycorn,麦粒长度,2026-08-07
21409956,barm,酵母；发酵泡沫；发酵沫,2026-08-07
21409957,barm brack,酵母面包,2026-08-07
21409958,baron of beef,沙朗牛肉；两侧腰肉的牛肉块,2026-08-07
21409959,barquette,船形食物盒,2026-08-07
21409960,barracuda,金梭鱼,2026-08-07
21409961,barramundi,尖吻鲈；扁红眼鲈；红目鲈,2026-08-07
21409962,barrel,桶 {容量单位},2026-08-07
21409963,bartail flathead,印度牛尾鱼；鲬,2026-08-07
21409964,basa,巴沙鱼,2026-08-07
21409965,basal metabolic rate (BMR),基础代谢率,2026-08-07
21409966,base former,碱性食品,2026-08-07
21409967,Basedow's disease,巴氏病；凸眼性甲状腺肿,2026-08-07
21409968,basella,落葵；皇宫菜,2026-08-07
21409969,basic amino acid,碱性胺基酸,2026-08-07
21409970,basil,罗勒；九层塔,2026-08-07
21409971,basmati,印度长米,2026-08-07
21409972,bass,鲈鱼,2026-08-07
21409973,bastard halibut,比目鱼,2026-08-07
21409974,baste,烤肉酱,2026-08-07
21409975,batata,甘𫉄；番薯,2026-08-07
21409976,Bath bun,葡萄干面包,2026-08-07
21409977,Bath chap,腌熏猪头肉,2026-08-07
21409978,Bath cheese,巴斯起司,2026-08-07
21409979,Bath Oliver,巴斯奥利弗饼干,2026-08-07
21409980,Battenberg cake,双色海绵蛋糕,2026-08-07
21409981,batter,面浆；面糊,2026-08-07
21409982,bauernspeck,腌猪肉,2026-08-07
21409983,Baumé,波美比重 {葡萄酒糖度},2026-08-07
21409984,bay,月桂,2026-08-07
21409985,bay lobster,澳洲龙虾,2026-08-07
21409986,bayberry,月桂梅,2026-08-07
21409987,bdelygmia,厌恶食物症,2026-08-07
21409988,bean,豆,2026-08-07
21409989,bean curd,豆腐,2026-08-07
21409990,bean curd skin,豆皮,2026-08-07
21409991,bean noodle,冬粉,2026-08-07
21409992,bean sprout,豆芽,2026-08-07
21409993,bearberry,熊莓；熊葡萄,2026-08-07
