ID,英文名稱,中文名稱,圖片,備註,更新日期
2711340,associative reaction,联结反应,,nan,2016-10-04
2711341,assumed average,假定平均数,,nan,2016-10-04
2711342,assumed mean,假定平均数,,nan,2016-10-04
2711343,assumed median,假定中位数,,nan,2016-10-04
2711344,asymmetrical distribution,不对称分配,,nan,2016-10-04
2711345,atavism,间代遗传,,nan,2016-10-04
2711346,athletic director,体育指导员,,nan,2016-10-04
2711347,athletic field,体育场；运动场,,nan,2016-10-04
2711348,athletic meeting,运动会,,nan,2016-10-04
2711349,at-risk student group,高危险群学生,,nan,2016-10-04
2711350,attainment target,成就目标 {英},,英国教育学,2016-10-04
2711351,attainment test,成就测验,,nan,2016-10-04
2711352,attendance,出席,,nan,2016-10-04
2711353,attendance book,出席簿,,nan,2016-10-04
2711354,attendance bureau,强迫入学局,,nan,2016-10-04
2711355,attendance officer,就学督促员,,nan,2016-10-04
2711356,attention,注意,,nan,2016-10-04
2711357,attitude,态度,,nan,2016-10-04
2711358,attractive education,诱导教育,,nan,2016-10-04
2711359,atypical child,非典型儿童,,nan,2016-10-04
2711360,audio- visual technician,视听技术员 {英},,英国教育学,2016-10-04
2711361,audit,随班附读,,nan,2016-10-04
2711362,Audit Commission,审计委员会 {英},,英国教育学,2016-10-04
2711363,auditor,旁听生,,nan,2016-10-04
2711364,auditorium,大礼堂,,nan,2016-10-04
2711365,auditory sensation,听觉,,nan,2016-10-04
2711366,autism,自闭症,,nan,2016-10-04
2711367,auto diagnosis,自我诊断,,nan,2016-10-04
2711368,auto-education,自我教育,,nan,2016-10-04
2711369,automatic reaction,自动反应,,nan,2016-10-04
2711370,autonomy of teaching profession,教师专业自主权,,nan,2016-10-04
2711371,autosuggestion,自我暗示,,nan,2016-10-04
2711372,auxiliary class,辅助班级,,nan,2016-10-04
2711373,auxiliary school,辅助学校,,nan,2016-10-04
2711374,average,平均数,,nan,2016-10-04
2711375,average deviation {= A.D.},平均差,,nan,2016-10-04
2711376,aviation academy,航空学校,,nan,2016-10-04
2711377,baby class,婴儿班,,nan,2016-10-04
2711378,baby-hood,幼孩期,,nan,2016-10-04
2711379,bachelor,学士,,nan,2016-10-04
2711380,bachelor of education,教育学士学位,,nan,2016-10-04
2711381,bachelor program of extension education,进修学士班,,nan,2016-10-04
2711382,bachelors' degree,学士学位,,nan,2016-10-04
2711383,back-to-basics,回归基础学科,,nan,2016-10-04
2711384,back-to-the-school movement,续学运动,,nan,2016-10-04
2711385,backward student,迟钝学生,,nan,2016-10-04
2711386,banding,能力分段 {英},,英国教育学,2016-10-04
2711387,basal course,基础课程,,nan,2016-10-04
2711388,Basic Academic Competence Test,基本学力测验,,nan,2016-10-04
2711389,basic competence,基本能力,,nan,2016-10-04
2711390,basic craft,基本技艺级 {英},,英国教育学,2016-10-04
2711391,basic English,基本英语,,nan,2016-10-04
2711392,basic needs for educational expenditure,教育经费基本需求,,nan,2016-10-04
2711393,basic school work guidance,基本课业辅导,,nan,2016-10-04
2711394,basic skills,基本能力；基本技能,,nan,2016-10-04
2711395,basic standards of school facilities,学校设备基准,,nan,2016-10-04
2711396,basic studies,基本学习,,nan,2016-10-04
2711397,Batavia plan,巴达维亚制,,nan,2016-10-04
2711398,beginning seniority date,年资起计,,nan,2016-10-04
2711399,behavior reaction,行为反应,,nan,2016-10-04
2711400,behaviorism,行为主义,,nan,2016-10-04
2711401,behavioristic psychology,行为主义心理学,,nan,2016-10-04
2711402,Bible class,查经班,,nan,2016-10-04
2711403,Bible school,圣经学校,,nan,2016-10-04
2711404,bildung,陶治；教育 {德},,nan,2016-10-04
2711405,Binet-Simon test,比奈西蒙测验 {比西测验},,nan,2016-10-04
2711406,biographical method,传记法,,nan,2016-10-04
2711407,Bishop's school,主教学校,,nan,2016-10-04
2711408,block grants,整笔补助款,,nan,2016-10-04
2711409,board and lodging expenses,膳宿费,,nan,2016-10-04
2711410,board of education,教育委员会；教育董事会,,nan,2016-10-04
2711411,board of regents,大学董事会 {英},,英国教育学,2016-10-04
2711412,board of trustees,大学董事会 {美},,英国教育学,2016-10-04
2711413,board school,寄宿学校,,nan,2016-10-04
2711414,boarder,住宿生,,nan,2016-10-04
2711415,boarding school,寄宿学校 {英},,英国教育学,2016-10-04
2711416,boy scout,童子军,,nan,2016-10-04
2711417,boyhood,少年期,,nan,2016-10-04
2711418,boy's day school,男生通勤学校 {英},,英国教育学,2016-10-04
2711419,Braille method,点字法,,nan,2016-10-04
2711420,branch campus,大学分部,,nan,2016-10-04
2711421,branch school,分校,,nan,2016-10-04
2711422,brief textbook,简明教科书,,nan,2016-10-04
2711423,brigade-laboratory method,分组实验法,,nan,2016-10-04
2711424,British Broadcast Company {=BBC},英国国家广播公司,,nan,2016-10-04
2711425,British Council,英国文化协会,,nan,2016-10-04
2711426,British Education Research Association {=BERA},英国教育研究学会,,nan,2016-10-04
2711427,British Educational Training and Technology {=BETT},英国教育训练科技展览,,nan,2016-10-04
2711428,British Library,大英图书馆；英国图书馆,,nan,2016-10-04
2711429,British Museum,大英博物馆,,nan,2016-10-04
2711430,B-score,B分数,,nan,2016-10-04
2711431,budget allocation,经费分配,,nan,2016-10-04
2711432,budget for instruction equipment,教学设备经费,,nan,2016-10-04
2711433,budget reward,经费奖助,,nan,2016-10-04
2711434,budget subsidy,经费补助,,nan,2016-10-04
2711435,building superintendent,校舍管理主任,,nan,2016-10-04
2711436,building survey,校舍调查,,nan,2016-10-04
2711437,bullies,校园霸凌事件,,nan,2016-10-04
2711438,bureau of attendance,强迫入学局,,nan,2016-10-04
2711439,bureau of educational research,教育研究局,,nan,2016-10-04
2711440,bursary,学费资助,,nan,2016-10-04
2711441,Business & Technology Education Council {=BTEC},商业与技术教育协会 {英},,英国教育学,2016-10-04
2711442,business education,商业教育,,nan,2016-10-04
2711443,busy work,课间自习,,nan,2016-10-04
2711444,Cambridge plan,剑桥制,,nan,2016-10-04
2711445,Campaign for the Advancement of State Education,公立教育推广运动 {英},,英国教育学,2016-10-04
2711446,cancellation test,删涂测验,,nan,2016-10-04
2711447,capacity,容量；能力,,nan,2016-10-04
2711448,career development education,生涯发展教育,,nan,2016-10-04
2711449,careers officers,生涯规划辅导员 {英},,英国教育学,2016-10-04
2711450,case history method,个案历史研究法；案例历史研究法,,nan,2016-10-04
2711451,case method,案例法,,nan,2016-10-04
2711452,case method of instruction,案例教学法,,nan,2016-10-04
2711453,case study method,案例法；个案研究；个案研究法,,nan,2016-10-04
2711454,case-group method,案例分组法,,nan,2016-10-04
2711455,catchment area,学区 {英},,英国教育学,2016-10-04
2711456,catechetic,教义问答教学法 {要理问答教学法},,nan,2016-10-04
2711457,catechetic method,教义问答教学法 {要理问答教学法},,nan,2016-10-04
2711458,catechetical school,高级教义问答学校；天主教进阶要理班,,nan,2016-10-04
2711459,catechism,教义问答教学法 {要理问答教学法},,nan,2016-10-04
2711460,catechumenal school,初级教义问答学校；天主教望教友要理班,,nan,2016-10-04
2711461,catering inspector,餐饮督导人员,,nan,2016-10-04
2711462,cathedral school,主教座堂学校；圣公会学校,,nan,2016-10-04
2711463,catholic pedagogy,天主教教学法,,nan,2016-10-04
2711464,causal investigation,溯因考察,,nan,2016-10-04
2711465,center of interest,兴趣中心,,nan,2016-10-04
2711466,central school,中央学校 {英},,英国教育学,2016-10-04
2711467,central tendency,集中趋势,,nan,2016-10-04
2711468,centralized system,集权制,,nan,2016-10-04
2711469,certificate,证书；证明书,,nan,2016-10-04
2711470,Certificate of Secondary Education {=CSE},中等教育证书 {英},,英国教育学,2016-10-04
2711471,certificated teacher,合格证照教师,,nan,2016-10-04
2711472,certification,检定；资格检定,,nan,2016-10-04
2711473,certification of teachers,教员检定,,nan,2016-10-04
2711474,certify teacher,合格师资,,nan,2016-10-04
2711475,chair professor,讲座,,nan,2016-10-04
2711476,chance error,机误,,nan,2016-10-04
2711477,chancellor,大学名誉校长；大学校长{英},,英国教育学,2016-10-04
2711478,character,性格；品格,,nan,2016-10-04
2711479,character building,品格培养,,nan,2016-10-04
2711480,character diagnosis,品格诊断；品性诊断,,nan,2016-10-04
2711481,character education,品格教育,,nan,2016-10-04
2711482,character rating,品格评比,,nan,2016-10-04
2711483,character test,品格测验,,nan,2016-10-04
2711484,charity school,慈善学校,,nan,2016-10-04
2711485,chartered teacher,认证级教师 {英},,英国教育学,2016-10-04
2711486,chief education officer {=CEO},地方教育局长 {英},,英国教育学,2016-10-04
2711487,child guidance,儿童指导,,nan,2016-10-04
2711488,child hygiene,儿童卫生,,nan,2016-10-04
2711489,child psychology,儿童心理学,,nan,2016-10-04
2711490,child study,儿童研究,,nan,2016-10-04
2711491,child welfare,儿童福利,,nan,2016-10-04
2711492,childcare club,安亲班,,nan,2016-10-04
2711493,child-centered education,儿童中心教育,,nan,2016-10-04
2711494,child-guidance clinic,儿童指导所,,nan,2016-10-04
2711495,child-hood,儿童期,,nan,2016-10-04
2711496,children's court,儿童法庭,,nan,2016-10-04
2711497,children's drawing,儿童画,,nan,2016-10-04
2711498,children's home,儿童之家,,nan,2016-10-04
2711499,children's language,童语,,nan,2016-10-04
2711500,children's library,儿童图书馆,,nan,2016-10-04
2711501,children's literature,儿童文学,,nan,2016-10-04
2711502,children's museum,儿童博物院,,nan,2016-10-04
2711503,children's play,儿童游戏；儿童戏剧,,nan,2016-10-04
2711504,children's story,儿童故事,,nan,2016-10-04
2711505,children's theater,儿童剧场,,nan,2016-10-04
2711506,children's vocabulary,儿童字汇,,nan,2016-10-04
2711507,Chinese Braille method,中文点字法,,nan,2016-10-04
2711508,Chinese Culture Scholarship,中华文化奖学金,,nan,2016-10-04
2711509,Chinese language study,华语文研习,,nan,2021-10-21
2711510,Chinese Proficiency Test,华语文测验,,nan,2016-10-04
2711511,chirology,手语术,,nan,2016-10-04
2711512,chivalric education,骑士教育,,nan,2016-10-04
2711513,choir school,唱诗学校,,nan,2016-10-04
2711514,choleric temperament,胆汁质,,nan,2016-10-04
2711515,Christian education,基督宗教教育,,nan,2016-10-04
2711516,chronicle of school,学校志,,nan,2016-10-04
2711517,chronological age {= C.A.},实足年龄；实龄,,nan,2016-10-04
2711518,chronological table,年龄表,,nan,2016-10-04
2711519,church education,教会教育 {英},,英国教育学,2016-10-04
2711520,citizenship,公民课；公民,,nan,2016-10-04
2711521,citizenship education,公民教育,,nan,2016-10-04
2711522,City Technology College {=CTC},城市科技高中 {英},,英国教育学,2016-10-04
2711523,civic virtue,公民德行,,nan,2016-10-04
2711524,civil service examination,公务人员考试,,nan,2016-10-04
2711525,class,学级；班,,nan,2016-10-04
2711526,class discussion,教室讨论,,nan,2016-10-04
2711527,class grouping,分级；分班,,nan,2016-10-04
2711528,class interval,组距,,nan,2016-10-04
2711529,class limit,组限,,nan,2016-10-04
2711530,class management,班级经营,,nan,2016-10-04
2711531,class meeting,班会,,nan,2016-10-04
2711532,class organization,班级组织,,nan,2016-10-04
2711533,class period,上课时间,,nan,2016-10-04
2711534,class reduction,减班,,nan,2016-10-04
2711535,class teacher,[班级]导师,,nan,2016-10-04
2711536,class teacher system,[班]导师制,,nan,2016-10-04
2711537,class teaching,班级教学,,nan,2016-10-04
2711538,class visitation,教室参观,,nan,2016-10-04
2711539,classical course,古典学科,,nan,2016-10-04
2711540,classical language,古典语文,,nan,2016-10-04
2711541,classical school,古典学校；古典学派,,nan,2016-10-04
2711542,classicism,古典主义,,nan,2016-10-04
2711543,classification,分级；分班；分类,,nan,2016-10-04
2711544,classified school,分级学校 {义},,nan,2016-10-04
2711545,classmate,级友；同班同学,,nan,2016-10-04
2711546,classroom,教室,,nan,2016-10-04
2711547,classroom assistant,教室助理 {英},,英国教育学,2016-10-04
2711548,classroom library,班级图书区,,nan,2016-10-04
2711549,classroom management,班级经营,,nan,2016-10-04
2711550,clearing house,大学入学申请委员会联合服务处 {英},,英国教育学,2016-10-04
2711551,clearing system,大学入学补登记制 {英},,英国教育学,2016-10-04
2711552,clerical test,文书工作测验,,nan,2016-10-04
2711553,cloister,修道院,,nan,2016-10-04
2711554,cloister school,修道院学校,,nan,2016-10-04
2711555,coach,运动教练,,nan,2016-10-04
2711556,coaching,指导练习,,nan,2016-10-04
2711557,Coalition of Modern Universities {=CMU},现代大学联盟 {英},,英国教育学,2016-10-04
2711558,co-education,男女混合教育,,nan,2016-10-04
2711559,coefficient of correlation,相关系数,,nan,2016-10-04
2711560,coefficient of variation,变异系数,,nan,2016-10-04
2711561,collaboration between industry and school,产学合作,,nan,2016-10-04
2711562,Collaboration Plan,携手计划,,nan,2016-10-04
2711563,collaboration transition class,合作式中途班,,nan,2016-10-04
2711564,collaboration transition school,合作式中途学校,,nan,2016-10-04
2711565,collateral reading,补充阅读,,nan,2016-10-04
2711566,collecting instinct,搜集本能,,nan,2016-10-04
2711567,collective education,集体教育,,nan,2016-10-04
2711568,college,学院,,nan,2016-10-04
2711569,College of Advanced Technology {=CAT},高级技术学院 {英}；进阶技术学院 {英},,英国教育学,2016-10-04
2711570,college of business administration,工商管理学院,,nan,2016-10-04
2711571,college of commerce,商学院,,nan,2016-10-04
2711572,college of education,教育学院,,nan,2016-10-04
2711573,College of Further Education {=College of FE},扩充教育学院 {英},,英国教育学,2016-10-04
2711574,college of law,法学院,,nan,2016-10-04
2711575,college of letters and science,文理学院,,nan,2016-10-04
2711576,college of liberal arts,文学院,,nan,2016-10-04
2711577,college of medicine,医学院,,nan,2016-10-04
2711578,college of preceptors,师范学院,,nan,2016-10-04
2711579,college of science,理学院,,nan,2016-10-04
2711580,college preparatory department,大学预科,,nan,2016-10-04
2711581,colonial education,殖民地教育,,nan,2016-10-04
2711582,color discrimination test,辨色测验,,nan,2016-10-04
2711583,color-blindness,色盲,,nan,2016-10-04
2711584,color-contrast,色彩对比,,nan,2016-10-04
2711585,colored school,黑人学校 {美},,nan,2016-10-04
2711586,color-mixture,色彩混合,,nan,2016-10-04
2711587,color-sensation,色觉,,nan,2016-10-04
2711588,combative instinct,争斗本能,,nan,2016-10-04
2711589,commencement,毕业典礼；毕业式；开始,,nan,2016-10-04
2711590,commercial education,商业教育,,nan,2016-10-04
2711591,commissioner of education,州教育厅长 {美},,nan,2016-10-04
2711592,commissioner on education,教育委员 {英},,英国教育学,2016-10-04
2711593,committee for aboriginal education,原住民民族教育审议委员会,,nan,2016-10-04
2711594,Committee of School Curriculum Development,学校课程发展委员会,,nan,2016-10-04
2711595,Committee of Teacher Grievances,教师申诉评议委员会,,nan,2016-10-04
2711596,Committee of Vice-Chancellors and Principals {=CVCP},大学校长委员会 {英},,英国教育学,2016-10-04
2711597,Committee Responsible for Identification and Placement of Gifted and Disabled Students,特殊教育学生鉴定及就学辅导委员会,,nan,2016-10-04
2711598,common core curriculum,共同核心课程,,nan,2016-10-04
2711599,common education,普通教育,,nan,2016-10-04
2711600,common entrance examination,共通入学考试；统一入学考试,,nan,2016-10-04
2711601,common school,平民学校,,nan,2016-10-04
2711602,Commons Education Select Committee,下议院教育委员会 {英},,英国教育学,2016-10-04
2711603,communicative approach,沟通式语言教学法 {英},,英国教育学,2016-10-04
2711604,community college,社区大学；社区学院,,nan,2016-10-04
2711605,community link course,社区结合课程 {英},,英国教育学,2016-10-04
2711606,community school,社区学校,,nan,2016-10-04
2711607,communization,社区化,,nan,2016-10-04
2711608,comparative education,比较教育,,nan,2016-10-04
2711609,comparative method,比较法,,nan,2016-10-04
2711610,comparative psychology,比较心理学,,nan,2016-10-04
2711611,compensation,补偿,,nan,2016-10-04
2711612,Competence Indicators of Grade 1-9 curriculum,能力指标,,nan,2016-10-04
2711613,competence-based class grouping,能力分班,,nan,2016-10-04
2711614,competitive examination,竞争考试,,nan,2016-10-04
2711615,competitive scholarship examination,奖学金竞试,,nan,2016-10-04
2711616,completion method,填充法,,nan,2016-10-04
2711617,completion of schooling,结业,,nan,2016-10-04
2711618,completion study period,修业期满,,nan,2016-10-04
2711619,complex,情结；复结,,nan,2016-10-04
2711620,complex of inferiority,自卑情结,,nan,2016-10-04
2711621,complex reaction,复合反应,,nan,2016-10-04
2711622,complex response,复合反应,,nan,2016-10-04
2711623,composite high school,综合中学{美},,nan,2016-10-04
2711624,comprehensive activity,综合活动,,nan,2016-10-04
2711625,comprehensive examination,综合试验；综合测验,,nan,2016-10-04
2711626,comprehensive high school,综合中学 {美},,nan,2016-10-04
2711627,comprehensive school,综合中学 {英},,英国教育学,2016-10-04
2711628,compulsory attendance,强迫就学,,nan,2016-10-04
2711629,compulsory education,义务教育,,nan,2016-10-04
2711630,Compulsory Education Law,国民教育法；义务教育法,,nan,2016-10-04
2711631,compulsory school age,义教年龄,,nan,2016-10-04
2711632,computer-based educational administration,教育行政ｅ化,,nan,2016-10-04
2711633,computerization of administration,行政业务电脑化,,nan,2016-10-04
2711634,concentric circle method,同心圆方法,,nan,2016-10-04
2711635,concomitant learning,附学习,,nan,2016-10-04
2711636,conditional promotion,条件式升级,,nan,2016-10-04
2711637,conditioned reflex,制约反射,,nan,2016-10-04
2711638,conditioned response,制约反应,,nan,2016-10-04
2711639,conditioned stimulus,制约刺激,,nan,2016-10-04
2711640,conduct,行为；操行,,nan,2016-10-04
2711641,conference,研讨会,,nan,2016-10-04
2711642,confinement punishment,禁闭,,nan,2016-10-04
2711643,conscience,良心,,nan,2016-10-04
2711644,consciousness,意识,,nan,2016-10-04
2711645,conservatory,音乐学校,,nan,2016-10-04
2711646,constant error,常误,,nan,2016-10-04
2711647,constant in curricula,持续的课程,,nan,2016-10-04
2711648,construction of curriculum,课程建构,,nan,2016-10-04
2711649,construction of test,测验编制,,nan,2016-10-04
2711650,consultative committee,咨询委员会；咨议委员会,,nan,2016-10-04
2711651,continuation school,继续学校；进修学校,,nan,2016-10-04
2711652,continuing contract,续聘,,nan,2016-10-04
2711653,continuing education,继续教育,,nan,2016-10-04
2711654,contract,聘约,,nan,2016-10-04
2711655,contract termination,解聘,,nan,2016-10-04
2711656,control and evaluation,管制考核,,nan,2016-10-04
2711657,control group,控制组,,nan,2016-10-04
2711658,controlled school,掌控型学校 {英}；监管型学校 {英},,英国教育学,2016-10-04
2711659,convent,女修道院,,nan,2016-10-04
2711660,convention of school principals,校长联席会议,,nan,2016-10-04
2711661,conversational method,会话法,,nan,2016-10-04
2711662,convocation of graduates,毕业生集会,,nan,2016-10-04
