ID,英文詞彙,中文詞彙,更新日期
21331246,50m rifle 3-positions {kneeling、prone、standing},50 公尺步枪 3 姿｛跪姿、卧姿、立姿)｝,
21331247,50m rifle prone,50 公尺步枪卧姿,
21331248,50m running target (slow and fast runs),50 公尺移动靶(慢速和快速),
21331249,50m running target mixed(slow and fast runs),50 公尺混合移动靶(慢速和快速),
21331250,6-0 Defense,6-0防守(手球),
21331251,800 metres,800公尺(田径),
21331252,a Cycle Action of Finswimming,蹼泳动作周期,
21331253,a frame,虾米跳,
21331254,a Rhythm Action of Finswimming,蹼泳动作节奏,
21331255,abandon ,终止 ,
21331256,abandonment signals,放弃信号,
21331257,abdomen cut,劈腹部,
21331258,abusive gestures,侮辱性的动作,
21331259,abusive language,侮辱性或辱骂性言语,
21331260,acceleration zone,加速区,
21331261,accreditation cards,注册卡,
21331262,accreditation pass,认可通行证,
21331263,accumulated foul ,累计犯规,
21331264,accuracy of mark laying,布标的准确度,
21331265,ace   ,准确打击{高尔夫},
21331266,achievement motivation,成就动机,
21331267,Achilles Tendinitis,跟腱炎；阿基里斯肌腱炎,
21331268,Achilles Tendon,阿基里斯腱,
21331269,acrobatic gymnastics,特技体操,
21331270,Acrobatic Gymnastics World Championships,特技体操世锦赛,
21331271,acrobatic movement,特技动作,
21331272,Acrobatic technical committee{=TC-ACRO},特技体操技术委员会,
21331273,Act of God,不可抗力,
21331274,action area ,动作区域,
21331275,action stage,动作阶段,
21331276,active dynamic living,动态生活,
21331277,active load,主动负荷,
21331278,active rest,动态休息,
21331279,adaptation to high altitude,高地适应,
21331280,adapted physical activity,适应体育活动,
21331281,additional match,决胜赛,
21331282,additional player,额外球员,
21331283,advance,持续移步逼近,
21331284,advance and retreat,前后移步,
21331285,advance lunge,向前移步刺,
21331286,advanced,进级,
21331287,advantage,得益,
21331288,advantage clause,得益规则,
21331289,advantage receiver,接球方领先,
21331290,advantage server,发球方领先,
21331291,adventure travel,冒险旅游,
21331292,aerobic power,有氧动力,
21331293,aerobics gymnastic,有氧体操,
21331294,aesthetic sports,审美运动,
21331295,aesthetics of sports,竞技运动的美学,
21331296,affidavit,证明书;宣誓书,
21331297,Africa Gymnastics Union,非洲体操联盟,
21331298,against wind,逆风,
21331299,age group,分龄组,
21331300,age group rules,分龄规则,
21331301,age selection,年龄选材,
21331302,agency,能动性,
21331303,agility,敏捷性,
21331304,agility training,敏捷性训练,
21331305,AIBA scoring system,国际拳击协会评分系统,
21331306,aid climbing,人工攀登,
21331307,aids,扶助,
21331308,aiming,瞄准,
21331309,air,坡道腾空(滑板),
21331310,air ball ,未碰篮框,
21331311,air pistol,空气手枪,
21331312,air rifle,空气步枪,
21331313,air shot  ,挥空杆,
21331314,air-supported structure,气膜构造,
21331315,airs tricks ,空中技巧,
21331316,albatross  ,低于标准杆三杆(俗称双鹰),
21331317,alegitimate fall,合法的摔倒,
21331318,alienation,异化,
21331319,aligner,线审,
21331320,all around competition,全能马术比赛,
21331321,all head or neck kips,头手前翻,
21331322,all miss game ,全破之局 ,
21331323,all-around,全能竞赛,
21331324,alley-oop,空中接力；第一时间出手,
21331325,allowance,马负重减重,
21331326,allowance for time lost,补足消耗时间,
21331327,alternate cross chest carry,搂胸带人,
21331328,alternating arm movements,双手交叉划水；中交叉划水,
21331329,aluminum,铝合金(田径),
21331330,aluminum paddle,铝合金桨,
21331331,amateur,业余球员,
21331332,amateurism,业余运动主义,
21331333,ambush marketing,伏击行销,
21331334,American Dance Therapy Association {= ADTA},美国舞蹈治疗协会,
21331335,amplitude,摆幅,
21331336,An chagi,内挂踢,
21331337,an official time at an intermediate distance,中途计时正式纪录,
21331338,anabolic steroid,同化性类固醇,
21331339,anabolism,合成代谢,
21331340,anaerobic capacity,无氧能力,
21331341,anaerobic metabolism,无氧代谢,
21331342,anaerobic power,无氧动力,
21331343,anaerobic threshold,无氧阈值,
21331344,anaerobic training,无氧训练,
21331345,anatomical reference planes,解剖参考运动面,
21331346,anchor,尾棒,
21331347,anchor line,锚绳,
21331348,anchor velocity,角速度,
21331349,anemometer,风带仪,
21331350,angle attack,对角球攻击,
21331351,angle of attack {= AOA},攻角,
21331352,angle of delivery,出手角度,
21331353,angled shot,有角度的刺或劈,
21331354,angles pass,三角传球,
21331355,angling,钓鱼(冰球),
21331356,angular velocity,角速度,
21331357,ankling,灵活的踏蹬,
21331358,announcer,比赛播报员,
21331359,anomie,脱序,
21331360,antagonistic muscle,拮抗肌,
21331361,antenna,标志竿,
21331362,anthropology of play,游戏人类学,
21331363,anthropology of sport,运动人类学,
21331364,anthropometric measures,人体测量,
21331365,anti-spin rubber,抗旋胶皮,
21331366,Apkubi,弓步,
21331367,Apnea Finswimming (AP),屏气蹼泳,
21331368,apnea finswimming breath skill,屏气蹼泳呼吸技术,
21331369,Apparatus Difficulty{=AD},手具难度,
21331370,appeal,申诉,
21331371,appeal play,促请裁决,
21331372,appeals,上诉,
21331373,appel,双连贯步伐进攻,
21331374,apprentice,新手,
21331375,approach,助跑(田径)；助走道,
21331376,approach shot  ,上果岭之击球,
21331377,approve,比赛终署名,
21331378,appuyer,斜横步,
21331379,aquatic centre,水上运动中心,
21331380,arc,投掷弧,
21331381,arch to back layout finish action,上拱成仰浮姿势完成动作,
21331382,archery grand prix,射箭大奖赛,
21331383,arena,驯马场,
21331384,arm block escape,单手推离,
21331385,arm extension assist,岸上手援,
21331386,armpit tow,腋下带人,
21331387,arms carry,双手托臂带人,
21331388,arms cross carry,双手锁肩带人,
21331389,armstand diving,臂立跳水,
21331390,army exercises,陆军操,
21331391,arrow,箭,
21331392,arrows,箭头指标,
21331393,artificial rock wall,人工岩壁,
21331394,artificial turf,人工草皮球场,
21331395,artistic grading,艺术评分,
21331396,artistic impression,艺术印象,
21331397,artistic impression score,艺术印象分数,
21331398,artistic roller skates,花式溜冰鞋,
21331399,artistic roller skating,花式溜冰,
21331400,artistic swimming,艺术游泳,
21331401,Artistic Swimming World Series,艺术游泳世界系列赛,
21331402,artistry,艺术性,
21331403,ascender,上升器,
21331404,ascent,上坡,
21331405,ashi-garami,足缄,
21331406,ashi-guruma,脚车,
21331407,ashi-waza,足技,
21331408,Asia Games Gymnastics Competition,亚洲运动会体操赛,
21331409,Asia Gymnastics Championships,亚洲体操锦标赛,
21331410,Asia Triathlon Confederation{=ASTC},亚洲铁人三项联盟,
21331411,Asian Archery Federation {= AAF},亚洲射箭联盟,
21331412,Asian Beach Volleyball Championships,亚洲沙滩排球锦标赛,
21331413,Asian Beach Volleyball Tour,亚洲沙滩排球巡回赛,
21331414,Asian Bowling Federation{=ABF},亚洲保龄球总会,
21331415,Asian Games,亚洲运动会,
21331416,Asian Indoor Games,亚洲室内运动会,
21331417,Asian Soft Tennis Championships,亚洲软式网球锦标赛,
21331418,Asian Tenpin Bowling Championships,亚洲十瓶保龄球锦标赛,
21331419,Asian University Sports Federation {= AUSF},亚洲大学运动总会,
21331420,Asian Volleyball Championship (AVC),亚洲杯排球锦标赛,
21331421,Asociación Mundial de Fútbol de Salón{=AMFS},世界室内五人制足球协会,
21331422,asphalt road,柏油路,
21331423,asphalt track,柏油跑道,
21331424,assembling place,集合地点,
21331425,assessment in physical education teaching,体育教学评量,
21331426,assessment of injured player   ,评估受伤球员,
21331427,assessment of physical education,体育评量,
21331428,assigned degree of difficulty,规定难度系数,
21331429,assist,助攻,
21331430,assistance and help,保护与帮助,
21331431,assistant coach,助理教练,
21331432,assistant referees,助理裁判,
21331433,Association for Applied Sport Psychology  {= AASP},应用运动心理学会,
21331434,Association of National Olympic Committees of Africa  {= ANOCA},非洲奥林匹克委员会,
21331435,Association of Tennis Professionals  {= ATP},男子职业网球协会,
21331436,at bat,打数,
21331437,athlete bib,号码布（径赛）,
21331438,athlete bibs,号码布；试举号码布,
21331439,athlete passes,选手通行证,
21331440,athlete support personnel,运动员辅助人员,
21331441,athlete's card,选手卡,
21331442,athlete's declaration,运动员声明,
21331443,athlete's heart,运动员心脏,
21331444,athletes' outfit,选手装备,
21331445,athletic administration,体育行政,
21331446,athletic amenorrhea,运动性停经,
21331447,athletic trainer,运动伤害防护员,
21331448,athletics,田径运动,
21331449,attack,攻击,
21331450,attack action,攻击动作,
21331451,attack after receive,接发球抢攻,
21331452,attack after service,发球抢攻,
21331453,attack line,攻击线,
21331454,attack on the blade,剑身进攻,
21331455,attack preceded by a feint,假动作进攻,
21331456,attack preceded by two feints,双假动作进攻,
21331457,attack technology,攻击技术,
21331458,attack-hit faults,攻击犯规,
21331459,attacking rate,攻击率,
21331460,attacking zone ,攻击区,
21331461,attact angle,迎角,
21331462,attempt board,试举揭示板,
21331463,attempt to injure,企图攻击(冰上曲棍球),
21331464,attention,立正,
21331465,attest,比赛后计分员检查无误,
21331466,attunement,协调；融入,
21331467,audience effects,观众效应,
21331468,Australian Open,澳洲网球公开赛,
21331469,authentic movement,真实动作,
21331470,authorization of the service,指示发球,
21331471,authorized  agent,马主人的代理人,
21331472,automatic officiating,电动计时,
21331473,automatic officiating equipment,电动计时器(游泳),
21331474,aux boat,辅助船,
21331475,auxiliary equipment,辅助器械,
21331476,away game,客场比赛,
21331477,away goals rule  ,客场进球规则,
21331478,axe kick,下压踢,
21331479,Axel jump,阿克塞尔跳；艾克索跳,
21331480,axle ,中轴{滑板},
21331481,axle fracture,车轴断裂,
21331482,back,向后传球,
21331483,back court,后场,
21331484,back diving,向后跳水,
21331485,back door ,后门,
21331486,back formation play,反扑击快攻,
21331487,back layout position,仰面位置,
21331488,back nine,后九洞,
21331489,back salto elements,后空翻系列动作,
21331490,back screen,背向掩护,
21331491,back spin  ,后旋球,
21331492,back stick,背杆,
21331493,back straight,次道；非终点直道,
21331494,back-row player,后排球员,
21331495,backcourt violation,回场违例,
21331496,backend,球尾,
21331497,backhand,反手拍,
21331498,backhand and forehand,反手拍与正手拍,
21331499,backhand interception,反手拍拦截,
21331500,backhand serve,反手拍发球,
21331501,backhand smash,反手拍高压杀球,
21331502,backhand stroke,反手拍高球击球,
21331503,backing card,靶后纸卡,
21331504,backing target,副靶,
21331505,backside,转动后背对障碍物,
21331506,backstroke,仰式,
21331507,backstroke ledge,仰泳起跳架,
21331508,backstroke turn,仰式滚转,
21331509,backstroke turn indicators,仰式转身标示,
21331510,backswing,拉拍,
21331511,backward saltos,后空翻,
21331512,backward stance,三七步,
21331513,badminton,羽球,
21331514,Badminton World Federation  {= BWF},世界羽球联合会,
21331515,bady cable,身体导线,
21331516,baffy,4号木杆,
21331517,bag,球袋,
21331518,balance,平衡,
21331519,balance beam,平衡木,
21331520,balance beam apparatus norms,平衡木器械规格,
21331521,balestra,跃步前进,
21331522,balk,投手犯规,
21331523,ball,滚珠(自由车),
21331524,ball baulk,拒走拒跳,
21331525,ball bearing,滚珠轴承,
21331526,ball check,磅球,
21331527,ball control,控球,
21331528,ball handing,球感,
21331529,ball in,界内球,
21331530,ball in play,比赛中之球,
21331531,ball mark  ,球位标记,
21331532,ball out,界外球,
21331533,ball picker,捡球员,
21331534,ball possession,控球时间,
21331535,ball side,有球边（篮球）,
21331536,ballet leg double position,双芭蕾腿位置,
21331537,ballet leg position,芭蕾腿位置,
21331538,ballistic stretch,弹震式伸展,
21331539,banana kick,香蕉球踢法,
21331540,bandage,绷带,
21331541,bandages,拳击绷带,
21331542,bangtail,比赛用马,
21331543,bank dash,弯道冲刺,
21331544,bank shot,擦板球,
21331545,banked,倾斜的,
21331546,banks,堤防,
21331547,bar,杠轴,
21331548,bar bit,小勒衔,
21331549,barbell,杠铃,
21331550,bare foot,赤脚,
21331551,bare torso,裸露躯干,
21331552,barn door,开门,
21331553,base,垒包；底座,
21331554,base coach,跑垒指导员,
21331555,base on balls,四坏球上垒,
21331556,base running,跑垒,
21331557,base steal,盗垒,
21331558,baseball for the blind,盲人棒球,
21331559,baseball triple crown,棒球三冠王,
21331560,Baseball World Cup,世界杯棒球赛,
21331561,baseline,底线,
21331562,baseline player,后卫（软式网球）,
21331563,baseplate,底座{滑板},
21331564,baserunner ,跑垒者,
21331565,basic physical ability,基本体能,
21331566,basic positions,基本位置,
21331567,bat,球棒,
21331568,baton,接力棒,
21331569,baton exchange,传接棒,
21331570,battens,帆骨,
21331571,batter,击球员,
21331572,batting average{=AVG},打击率,
21331573,batting order,打击顺序,
21331574,battle,尬舞,
21331575,battle of the parallel bars,双杠之争,
21331576,baulk line,攻击线,
21331577,beach dig,沙滩式防守击球,
21331578,beach handball,沙滩手球,
21331579,beach rugby,沙滩橄榄球,
21331580,beach volleyball,沙滩排球,
21331581,bear away,顺风偏转,
21331582,beat,敲剑,
21331583,beat in octave,八分位姿势袭打,
21331584,beat in prime,一分位姿势袭打,
21331585,beat in quarte,四分位姿势袭打,
21331586,beat in quinte,五分位姿势袭打,
21331587,beat in septime,七分位姿势袭打,
21331588,beat in sixte,六分位姿势袭打,
21331589,beat in tierce,三分位姿势袭打,
21331590,beat parrty,击打防守,
21331591,beat second,二分位姿势袭打,
21331592,beating,迎风航行区,
21331593,before the race,竞赛前,
21331594,before the start,起航前,
21331595,belay,确保,
21331596,belay device,确保器,
21331597,belayer,确保者,
21331598,bell,摇铃,
21331599,belonged to dance,以舞相属,
21331600,bench depth,板凳深度,
21331601,bench player,替补球员,
21331602,bend,弯道,
21331603,beneficial effect of exercise,健身运动的效益,
21331604,benefits of leisure,休闲效益,
21331605,best of five,五盘三胜制,
21331606,best of three,三盘两胜制,
21331607,best young rider classification,最佳青年选手排名,
21331608,beta,攀登路线资讯,
21331609,beta-hydroxy beta-methylbutyrate monohydrate {= HMB},β-羟基-β-甲基丁酸,
21331610,bib,护颈,
21331611,biceps brachii,肱二头肌,
21331612,bicycle  racing,自行车竞赛,
21331613,bicycle drive,自行车传动装置,
21331614,bicycle frame,车架,
21331615,bicycle motocross{=BMX},小轮车,
21331616,bicycle paced race ,自行车争先赛,
21331617,bicycle pedal ,自行车脚蹬,
21331618,bicycle pump,自行车打气筒,
21331619,bicycle saddle,自行车鞍座,
21331620,big wall,大岩壁,
21331621,bigspin,大旋转(滑板),
21331622,bike motocros{=BMX},小轮车,
21331623,bike shoes,车鞋,
21331624,bind ,车轮被异物堵塞无法转动,
21331625,biner,钩环,
21331626,birdie,柏蒂；低于标准杆一杆,
21331627,bit,口衔,
21331628,bit and bit,交接区,
21331629,black card,星牌,
21331630,black flag rule,黑旗规则,
21331631,blackboard,战术盘,
21331632,blackboard man,白板裁判,
21331633,blade,冰鞋刀,
21331634,blade position,剑身位置,
21331635,blemish,淘汰,
21331636,blinder,遮眼罩,
21331637,blisters,起水泡,
21331638,block,推挡球（桌球）；拦网（排球）；阻挡（篮球）,
21331639,block shot,封阻；火锅（篮球）,
21331640,block tackle,阻挡抢球,
21331641,blocked shot,封挡,
21331642,blocking ,封球 ,
21331643,blocking fault,拦网犯规,
21331644,blood doping,违规输血,
21331645,bloodstoct,纯种马,
21331646,blow,刺劈,
21331647,blue band,蓝带区(自行车),
21331648,blue bandsshall,蓝带区,
21331649,blue corner,蓝角选手,
21331650,blue line ,蓝线,
21331651,BMXfreestyle,自由式花式,
21331652,BMXracing,小轮车竞速赛,
21331653,board,冲浪板,
21331654,board-carom pass,碰墙反弹球,
21331655,boarding,撞击,
21331656,boat control,艇检,
21331657,boat holder,扶船员,
21331658,boat house,艇库；船库,
21331659,boat line,系船绳,
21331660,body attacking,中端攻击,
21331661,body awareness,身体觉知,
21331662,body blocking,中端防御,
21331663,body cord,身上带的导线,
21331664,body dificulty{=BD},身体难度,
21331665,body esteem,身体自尊,
21331666,body image,身体意象,
21331667,body mass index {= BMI},身体质量指数,
21331668,body type selection,体型选材,
21331669,body waves,身体波浪,
21331670,body wire,身上带的导线,
21331671,bodyweight categories,体重级别,
21331672,bogey,柏忌,
21331673,boggy,高于标准杆一杆,
21331674,boll,球（草地曲棍球）,
21331675,bomber,把手点:固定点,
21331676,boned,向前推板指向下方,
21331677,boneless,在空中前脚离板手抓板，再踩板放手,
21331678,bonus line,得分线,
21331679,boom,帆杆,
21331680,boot,胶鞋,
21331681,border climbing ,骑上边缘,
21331682,bottom up,由下而上,
21331683,boulder,抱石,
21331684,bounce pass,跳传,
21331685,bounces,拍球,
21331686,boundary,边界,
21331687,bout ,击剑比赛,
21331688,bout for one hit,刺(劈)一剑的比赛,
21331689,bout jury,裁判总称,
21331690,bout of five touches,刺(劈)五剑的比赛,
21331691,bout of one touch,刺(劈)一剑的比赛,
21331692,bow sight,瞄准器（射箭）,
21331693,bow tuning,调弓,
21331694,bowling,保龄球,
21331695,bowling shoes,保龄球鞋,
21331696,bowling style,球路,
21331697,box,开始比赛(拳击),
21331698,box out,卡位篮板,
21331699,boxing coach mitt,拳击教练靶,
21331700,boxing competition uniform,拳击比赛服装,
21331701,boxing gloves,拳击手套,
21331702,boxing ring,拳击台,
21331703,boxing robe,拳击袍,
21331704,boxing shoes,拳击鞋,
21331705,boxing skipping rope,拳击跳绳,
21331706,brace height,主弦距（射箭）,
21331707,bracer ,保护套,
21331708,brachial plexus injury,臂神经丛伤害,
21331709,brake,煞车,
21331710,brake cone,制动锥体,
21331711,brand,烙印,
21331712,brand marketing,品牌行销,
21331713,brassy,二号木杆,
21331714,breach of contract,违约,
21331715,break ,摆脱 ,
21331716,break even analysis,损益平衡分析,
21331717,break point,转折点,
21331718,breakaway  ,摆脱,
21331719,breakaway  rider ,摆脱车阵的运动员,
21331720,breaking ball,变化球,
21331721,breakwater,防浪堤,
21331722,breast protector,女用护胸,
21331723,breaststroke,蛙式,
21331724,breeder,饲养员,
21331725,breeding farm,养马场,
21331726,broad reach,后侧航行区,
21331727,broken  stone road,碎石路,
21331728,bronc-buster,驯马师,
21331729,bronc-busting,驯马,
21331730,bronc-peeler,调教师,
21331731,bronze level events,铜牌级赛事,
21331732,brush jump,场内障碍赛,
21331733,brush shot,刷球,
21331734,brutality ,粗暴行为 ,
21331735,building stance,调整站位（高尔夫）,
21331736,bulkhead,分隔墙,
21331737,bull-pen,牛棚,
21331738,bully,争球;开球（曲棍球）,
21331739,bumping,冲撞,
21331740,bumpy road ,崎岖不平的路,
21331741,bunch ,集团(自由车),
21331742,bunch events,集团项目,
21331743,bunch finish,成群到达,
21331744,bunker,人工障碍的坑洼,
21331745,bunt,短打,
21331746,buoy,浮球,
21331747,buoyancy,浮力装置,
21331748,bureaucracy,官僚体制,
21331749,butt,突剑,
21331750,butt-ending,杆尾击人,
21331751,butterfly,蝴蝶(冰球),
21331752,butterfly save,胫膝挡球,
21331753,buttock,臀,
21331754,button of horse,马身,
21331755,buzzer beater,零秒出手,
21331756,byways  ,小路,
21331757,cable guard,弓弦减震器,
21331758,caddie,杆弟,
21331759,cage,护笼,
21331760,calculator judge,编排裁判,
21331761,call room,检录处,
21331762,call room judge,检录裁判,
21331763,call-room,检录室,
21331764,canadian-pair,双人划艇,
21331765,canadian-single,单人划艇,
21331766,canoe numbers,航道牌,
21331767,canoeing,独木舟赛事,
21331768,cant,口号,
21331769,cantonese,球瓶(保龄球),
21331770,cap,帽子,
21331771,capitalism,资本主义,
21331772,Capoeira reverse 1/2 twist airborne to push up,卡波耶拉反转180度成屈臂捬撑,
21331773,capsize,翻覆,
21331774,capsized,翻船,
21331775,carbo-loading,糖原负荷法,
21331776,carbon fibre pole,碳纤维竿,
21331777,card  ,记分卡,
21331778,cardiac output,心输出量,
21331779,cardiorespiratory fitness,心肺适能,
21331780,careless ,动作拙劣,
21331781,carnosine,肌肽,
21331782,cart  ,球车,
21331783,carving,雕刻(滑板动作),
21331784,cat leap,猫跳,
21331785,catamaran,双体船,
21331786,catastrophe model,大灾难模式,
21331787,catch,防守得分；抓取{在空中用脚抓取滑板},
21331788,catcher,捕手,
21331789,catcher's box,捕手区,
21331790,caution ,黄牌警告 ,
21331791,cautions play,保守打法,
21331792,cavation,掏刺,
21331793,cave,掏刺,
21331794,ceding parry,后拉防守,
21331795,center,中锋（篮球）,
21331796,center ball,中线球（网球）,
21331797,center fielder ,中外野手,
21331798,center fire pistol,中火手枪,
21331799,center line,中心线{冰壶},
21331800,center referee,中央裁判,
21331801,centerboard,稳向板,
21331802,centerman,中锋  ,
21331803,centreboard,中央板,
21331804,chain drive,链条传动装置,
21331805,chalk,白土；碳酸镁粉:止滑粉,
21331806,challenge ,争夺；争球,
21331807,challenge cards,挑战卡,
21331808,challnge,挑引,
21331809,Champions Swim Series,游泳冠军系列赛,
21331810,change beat,转换交叉袭打,
21331811,change course,改变航线,
21331812,change of court,交换场地,
21331813,change of place,交换场地,
21331814,change parry,变换防守,
21331815,change service,交换发球权,
21331816,change sides,换场区,
21331817,change stop hit,变换交叉反攻,
21331818,change the leg,改换步伐,
21331819,changing the next leg,更改下一站,
21331820,characteristics of play,游戏特征,
21331821,charge,冲撞对方球员,
21331822,charging,冲撞对方,
21331823,chart,赛马成绩表,
21331824,chase ,追赶,
21331825,check,验车(自由车),
21331826,check mark,步点,
21331827,checking,阻碍,
21331828,checklist for technical delegate,技术代表检核表,
21331829,cheek ,脸部两侧,
21331830,cheek cut,劈护面,
21331831,chest cut,劈胸部,
21331832,chief judge,裁判长（田径）,
21331833,chief marshal,场控主任,
21331834,chief of equipment control,装备检察长,
21331835,chief race official,裁判长,
21331836,chief range officer,靶场裁判长,
21331837,chief referee,裁判长,
21331838,chief RTS,评分室首席官员,
21331839,chief track judge,竞赛裁判长,
21331840,chin straps,下巴带,
21331841,Chinese Gymnastics School,中国体操学校,
21331842,Chinese Professional Baseball League  {= CPBL},中华职业棒球大联盟,
21331843,Chinese Taipei Amateur Boxing Association,中华民国拳击协会,
21331844,Chinese Taipei Basketball Association  {= CTBA},中华民国篮球协会,
21331845,Chinese Taipei Bowling Association {=CTBA},中华民国保龄球协会,
21331846,Chinese Taipei Cycling Association,中华民国自行车协会,
21331847,Chinese Taipei Gymnastics Association,中华民国体操协会,
21331848,Chinese Taipei Handball Association,中华民国手球协会,
21331849,Chinese Taipei Hockey Association,中华民国曲棍球协会,
21331850,Chinese Taipei Ice Hockey Federation,中华民国冰球协会,
21331851,Chinese Taipei Modern Pentathlon Association{=CTMPA},中华民国现代五项运动协会,
21331852,Chinese Taipei Olympic Committee  {= CTOC},中华奥林匹克委员会,
21331853,Chinese Taipei Roller Sports Federation{=CTRSF},中华民国滑轮溜冰协会,
21331854,Chinese Taipei Sailing Association,中华民国帆船协会,
21331855,Chinese Taipei School Sport Federation  {= CTSSF},中华民国高级中等学校体育总会,
21331856,Chinese Taipei Sepaktakraw Federation  {= CTSTF},中华民国藤球协会,
21331857,Chinese Taipei Soft Tennis Association  {= CTSTA},中华民国软式网球协会,
21331858,Chinese Taipei Swimming Association{=CTSA},中华民国游泳协会,
21331859,Chinese Taipei Taekwondo Association,中华民国跆拳道协会,
21331860,Chinese Taipei Triathlon Association{=CTTA},中华民国铁人三项运动协会,
21331861,Chinese Taipei University Sports Federation  {= CTUSF},中华民国大专院校体育总会,
21331862,Chinese Taipei Volleyball Association  {= CTVBA},中华民国排球协会,
21331863,Chinse Taipei Kabaddi Federation  {= CTKF},中华民国卡巴迪运动协会,
21331864,chip  ,起扑球,
21331865,choking,压力下失常,
21331866,chop,削球,
21331867,chopping style,削球打法,
21331868,choreography,编舞；编排,
21331869,Chung-Cheng Sports Medal Reward,中正体育奖章,
21331870,cinch,马肚带,
21331871,cinder track ,煤渣跑道,
21331872,circle,转圈,
21331873,circle in cross support on 1 pommel,单环并腿全旋,
21331874,circuit training,循环训练,
21331875,citizenship,公民身分,
21331876,civil society,公民社会,
21331877,civilization,文明,
21331878,class,阶级,
21331879,class 1,一级赛事,
21331880,class 2,二级赛事,
21331881,class A jumps,A级跳跃,
21331882,class A spins,A级旋转,
21331883,class B jumps,B级跳跃,
21331884,class B spins,B级旋转,
21331885,class C jumps,C级跳跃,
21331886,classic position,高手姿势,
21331887,classical ballet,古典芭蕾,
21331888,classical dances,古典舞,
21331889,classical seat,古典骑坐姿势,
21331890,classroom ecology,课室生态,
21331891,clay court,红土球场,
21331892,clay target ,泥盘,
21331893,clean,上博,
21331894,clean and jerk,挺举,
21331895,clean game,不破之局 ,
21331896,clear ,拉开 ,
21331897,clear ahead,明显在前,
21331898,clear chance of scoring,显然得分机会,
21331899,clear hip circle,浮撑回环,
21331900,clear the course,清理航道,
21331901,clearance action,过竿动作；过栏动作,
21331902,clearance kick,大脚解危,
21331903,cleek,五号木杆,
21331904,clerk of the course,检录员,
21331905,clerks of course,检录员,
21331906,clew,帆后角,
21331907,clicker,夹箭片,
21331908,climbing shoes,攀登鞋,
21331909,clinch,僵持不下,
21331910,clip-in,挂绳,
21331911,clip-on handlebars,夹式车把,
21331912,clipper,快马,
21331913,close combat,近战,
21331914,close in,故意冲撞,
21331915,close table,近台,
21331916,close the line,禁闭击剑线,
21331917,closed line,禁闭的击剑线,
21331918,closed stance,闭锁式站姿（网球）,
21331919,closer ,终结者(棒垒球),
21331920,club ,球杆,
21331921,clubs,棍棒,
21331922,coach,教练 ,
21331923,coach board,教练战术板,
21331924,coach boat,教练艇,
21331925,coach role,教练角色,
21331926,coach's restriction line,教练限制线,
21331927,Coaching Behavior Assessment System  {= CBAS},教练行为评估系统,
21331928,coaching duties,教练职责,
21331929,coal crease,球门禁区,
21331930,coaming,挡水板,
21331931,coast to coast,后场杀进前场,
