ID,英文詞彙,中文詞彙,審定日期,更新日期
21396891,area under curve (AUC),曲线下面积,2023.08.30,
21396892,artificial general intelligence (AGI),通用人工智慧,2025.04.29,
21396893,astronomical tidal cycle,天文潮周期,2023.03.29,
21396894,astronomical tide,天文潮,2025.09.24,
21396895,atmospheric index of refraction,大气折射率,2025.03.06,
21396896,attention mechanism,注意机制；注意力机制,2024.08.16,
21396897,attenuation,衰减,2026.04.16,
21396898,autoencoder,自动编码器；自编码器,2025.04.29,
21396899,automated driving (AD),自动驾驶,2022.03.14,
21396900,automated survey system,自动测量系统,2024.08.16,
21396901,automatic driving (AD),自动驾驶,2022.03.14,
21396902,automatic emergency braking (AEB),自动紧急煞车,2022.07.21,
21396903,automatic identification system (AIS),自动识别系统 {船舶},2023.04.12,
21396904,automatic radar plotting aids (ARPA),自动雷达测绘装置,2023.04.12,
21396905,autonomous agent,自主代理；自主代理系统,2025.04.29,
21396906,autonomous car,自驾车；自动驾驶车辆,2022.03.14,
21396907,autonomous navigation,自主导航,2022.07.21,
21396908,autonomous surface vehicle (ASV),自动驾驶水面载具,2023.04.12,
21396909,autonomous underwater vehicle (AUV),自动驾驶水下载具,2023.04.12,
21396910,autonomous vehicle,自驾车；自动驾驶车辆,2022.03.14,
21396911,autonomous vehicles readiness index (AVRI),自动驾驶汽车准备度,2022.11.03,
21396912,avalanche photodiode (APD),突崩光电二极体,2025.03.06,
21396913,average precision (AP),平均精度,2023.08.30,
21396914,backlighting transmission copy,背光透射复印,2023.07.05,
21396915,backpropagation,倒传递；反向传播,2023.05.09,
21396916,backward propagation,倒传递；反向传播,2023.05.09,
21396917,bandwidth,频寛；带寛,2026.01.15,
21396918,bar check,水深校正检板,2026.01.15,
21396919,barometric pressure,大气压力,2026.04.16,
21396920,batch gradient descent (BGD),批次梯度下降法,2023.07.05,
21396921,batch size,批次大小,2023.07.05,
21396922,batch  normalization,批次正规化,2023.07.05,
21396923,bathymetric attributed grid (BAG),水深属性网格档,2023.03.29,
21396924,bathymetric surface,水深面,2023.03.29,
21396925,beam direction,音束方向,2023.05.09,
21396926,beam width,束宽,2023.05.09,
21396927,beam steering,波束控制,2026.01.15,
21396928,beam-forming,波束成形,2026.01.15,
21396929,beamwidth,波束宽度,2026.01.15,
21396930,binary cross-entropy,二元交叉熵,2023.08.30,
21396931,bitmap type,点阵字型,2022.05.19,
21396932,blind spot detection (BSD),盲点侦测,2022.07.21,
21396933,boresight angle,轴角,2026.01.15,
21396934,boresight calibration,轴角率定,2026.01.15,
21396935,bounding box,目标框；边界框；侦测框,2023.07.05,
21396936,bounding box regression,边界框回归,2023.07.05,
21396937,camera pose estimation,相机姿态估计,2026.02.05,
21396938,campaign mode survey,分期测量,2025.04.29,
21396939,carrier phase differencing,载波相位差分,2023.05.09,
21396940,carrier wave,载波,2025.03.06,
21396941,carrier wavelength,载波波长,2025.03.06,
21396942,cartographic ethics,制图伦理,2022.10.13,
21396943,cartographic generalization parameter,制图缩编参数；制图概括化参数,2023.07.26,
21396944,chain of hindsight (CoH),反思链,2025.04.29,
21396945,chain of thought (CoT),思维链；思路链,2025.04.29,
21396946,changing technology,革新技术,2022.03.14,
21396947,chart datum,深度基准,2023.03.29,
21396948,chart datum system,深度系统,2023.03.29,
21396949,charted depth,深度,2023.03.29,
21396950,charted sounding,深度,2023.03.29,
21396951,chirp sonar,变频声纳,2023.05.09,
21396952,choropleth mapping,分区著色制图；面量制图,2022.03.14,
21396953,circular hole registry,圆孔定位,2024.02.06,
21396954,clamp screw,制动螺旋,2026.03.12,
21396955,class balance,类别平衡,2023.07.05,
21396956,class imbalance,类别不平衡,2023.07.05,
21396957,classic typeface,古典字型,2022.06.16,
21396958,classless choropleth map,无级别面量图,2022.05.19,
21396959,clinometer,测斜仪,2025.03.06,
21396960,clock pulse generator,时标脉冲产生器,2025.03.06,
21396961,clone,复制,2026.02.05,
21396962,cloud computing,云端运算,2023.04.12,
21396963,cloud native,云端原生,2023.04.12,
21396964,CMY color model,CMY 色彩模式；印刷三原色模式,2022.06.27,
21396965,CMYK color model,CMYK 色彩模式；印刷四原色模式,2022.06.27,
21396966,co-amplitude line,等振幅线,2025.03.06,
21396967,coast line,岸线,2023.03.29,
21396968,coastal current,沿岸流,2026.04.16,
21396969,code differencing,电码差分,2023.05.09,
21396970,coded circle,编码度盘,2026.03.12,
21396971,color model,色彩模型,2025.10.08,
21396972,color solid,色立体；色彩立体,2022.09.15,
21396973,color standard,色彩标准；色标准；色标,2024.06.11,
21396974,colored emulsion,有色乳剂,2024.02.06,
21396975,colored emulsion solution,有色乳剂溶液,2024.02.06,
21396976,combined uncertainty and bathymetry estimator (CUBE),水深及不确定度估计值,2023.05.09,
21396977,command-line interface (CLI),命令行介面,2022.08.03,
21396978,commercially available imagery,商用影像,2022.06.27,
21396979,compass north,罗盘北,2026.01.15,
21396980,composite indexes,综合指数,2022.08.03,
21396981,computer language,电脑语言；计算机语言,2022.11.03,
21396982,conditional driving automation,条件自动驾驶,2022.07.21,
21396983,conductivity temperature depth (CTD),盐温深仪,2023.05.09,
21396984,confidence score,信心值；信心分数,2023.07.05,
21396985,contact tint screen,接触式色调网屏,2022.08.03,
21396986,continuous survey,连续测量,2025.04.29,
21396987,continuous waveform (CW),连续波形,2026.01.15,
21396988,control entity,控制实体,2026.01.15,
21396989,control feature,控制特征,2026.01.15,
21396990,control image,控制影像,2026.01.15,
21396991,control line,控制线,2026.01.15,
21396992,control patch,控制区块,2026.01.15,
21396993,control surface,控制面,2026.01.15,
21396994,convolution kernel,卷积核,2023.05.09,
21396995,convolutional neural network (CNN),卷积神经网路,2023.05.09,
21396996,co-phase chart,等潮时图,2025.03.06,
21396997,co-phase line,等潮时线,2025.03.06,
21396998,co-range,等潮差,2023.03.29,
21396999,co-range chart,等潮差图,2025.03.06,
21397000,corange line,等潮差线,2023.03.29,
21397001,co-range line,等潮差线,2025.03.06,
21397002,Coriolis effect,科氏力效应,2025.09.24,
21397003,corner cube reflector,直角反射镜,2026.03.12,
21397004,corner reflector,角反射器,2022.06.16,
21397005,cosine similarity,余弦相似度,2024.08.16,
21397006,cotidal chart,等潮图,2025.10.08,
21397007,co-tidal chart,等潮区图,2025.03.06,
21397008,cotidal hour,等潮时,2023.03.29,
21397009,cotidal line,等潮时线,2023.03.29,
21397010,co-tidal zone,等潮区,2025.03.06,
21397011,critical datum level (C.D.L),基准水准面；筑港高程；基准水准位,2023.03.29,
21397012,cross entropy,交叉熵,2023.07.05,
21397013,cross-domain,跨域,2022.11.03,
21397014,cross-entropy,交叉熵,2023.05.09,
21397015,cross-modal data fusion,跨模态资料融合,2026.02.05,
21397016,cross-modal generation,跨模态生成,2026.03.12,
21397017,cross-modal retrieval,跨模态检索,2026.03.12,
21397018,cross-validation,交叉验证,2024.08.16,
21397019,cross-variable mapping,多变数制图,2022.09.15,
21397020,crowdsourced bathymetry (CSB),群众外包测深,2023.03.29,
21397021,crowdsourcing update,群众外包更新,2022.04.21,
21397022,current map,流场图,2026.04.16,
21397023,"cyan, magenta, yellow (CMY)",青、洋红、黄,2022.06.27,
21397024,"cyan, magenta, yellow, and black (CMYK)",青、洋红、黄、黑印刷四原色；印刷四原色,2022.06.27,
21397025,cyber-physical urban space,虚实整合城市空间,2026.02.05,
21397026,cyclic error,周期误差,2026.03.12,
21397027,data association,资料关联,2025.03.06,
21397028,data association matrix,资料关联矩阵,2025.03.06,
21397029,data augmentation,资料扩增,2023.08.30,
21397030,data holiday,空缺；资料空缺；间隙；资料间隙,2023.03.29,
21397031,data switchyard,资料中介,2024.08.16,
21397032,dedicated short-range communication (DSRC),专用短距通讯；专用短距通讯技术,2022.11.03,
21397033,deep neural network (DNN),深度神经网路,2023.07.05,
21397034,deep water currents,深层洋流,2026.04.16,
21397035,demodulation,解调,2025.03.06,
21397036,dense reconstruction,稠密重建,2026.02.05,
21397037,densification,加密,2026.02.05,
21397038,depth,⽔深,2023.03.29,
21397039,depth area,深度区域,2023.04.12,
21397040,depth contour,等深线,2023.04.12,
21397041,depth datum,深度基准,2023.03.29,
21397042,depth sensing,深度感测,2026.02.05,
21397043,descending node,降交点,2025.09.24,
21397044,device level,装置等级,2024.06.11,
21397045,device-level standard,装置等级标准,2024.06.11,
21397046,dice coefficient,戴斯系数,2023.08.30,
21397047,differentiable tile rasterizer,可微区块光栅器,2026.02.05,
21397048,diffusion model,扩散模型 {AI},2025.04.29,
21397049,digital image simplification,数位影像简化,2023.07.26,
21397050,digital screen tint,数值网屏色调,2022.05.19,
21397051,direct reflex,直接反射,2025.03.06,
21397052,directional transducer,方向性换能器；定向换能器,2026.01.15,
21397053,discriminative model,鉴别模型；判别模型,2024.08.16,
21397054,discriminator,鉴别器；判别器,2024.08.16,
21397055,dispersion effect,色散效应,2025.03.06,
21397056,distance resolution,距离解析度,2026.01.15,
21397057,diurnal tide,全日潮,2025.09.24,
21397058,Doppler orbitography and radio-positioning integrated by satellite (DORIS),都卜勒式卫星轨道测定与地面站定位系统,2025.03.06,
21397059,dot mapping,点映射；点制图,2023.07.26,
21397060,downwelling,沉降流；下降流,2025.10.08,
21397061,draft,吃水,2023.05.09,
21397062,draught,吃水,2023.05.09,
21397063,driven to refusal,桩锤达稳固位,2023.07.26,
21397064,driver assistance,驾驶辅助,2022.07.21,
21397065,dropout layer,抛弃层,2023.07.05,
21397066,dynamic circulation model,动态环流模式,2025.10.08,
21397067,dynamic draft,动态吃水,2023.05.09,
21397068,dynamic draught,动态吃水,2023.05.09,
21397069,dynamic information,动态资讯,2022.04.21,
21397070,dynamic map,动态地图,2022.03.14,
21397071,dynamic tide,动态潮,2025.09.24,
21397072,dynamic tide theory,动态潮位理论,2025.09.24,
21397073,earth ellipsoid,地球椭球体,2025.10.08,
21397074,ebb,退潮,2025.10.08,
21397075,electromagnetic radiation (EMR),电磁辐射,2022.08.03,
21397076,electronic chart display and information system (ECDIS)  ,电子海图显示及资讯系统,2023.05.09,
21397077,electronic oscillator,电子振荡器,2025.03.06,
21397078,electronic stability program (ESP),电子稳定程式,2022.07.21,
21397079,electronic technology,电子技术,2022.03.14,
21397080,ellipsoid eccentricity,椭球偏心率；椭球离心率,2022.03.14,
21397081,ellipsoidally referenced surveying for bathymetry,椭球高测深；椭球高测深法,2023.06.12,
21397082,ellispoidal reference surveys (ERS),以椭球为参考基准的测量,2025.10.08,
21397083,ellispoidally referenced surveying (ERS),以椭球为参考基准的测量,2025.10.08,
21397084,embedding model,嵌入模型,2025.03.06,
21397085,emissivity,发射率；放射率,2025.10.08,
21397086,emulsion,感光乳剂,2025.10.08,
21397087,encapsulated PostScript (EPS),压缩式页面描述语言格式；EPS格式,2024.06.11,
21397088,end to end,端对端,2022.03.14,
21397089,end-to-end classification,端对端分类；端到端分类,2023.05.09,
21397090,end-to-end learning,端对端学习；端到端学习,2023.05.09,
21397091,Enhanced Thematic Mapper (ETM),进阶主题制图仪,2022.08.03,
21397092,Enhanced Thematic Mapper Plus (ETM+),再进阶主题制图仪,2022.08.03,
21397093,ensemble learning,集成学习,2024.08.16,
21397094,environment perception,环境感知,2022.04.21,
21397095,ephemeral map display,短暂图显,2022.07.21,
21397096,equal area projection,等积投影,2022.07.21,
21397097,equal-contrast gray scale,等对比灰阶,2022.07.21,
21397098,equilibrium tide,平衡潮,2025.09.24,
21397099,equirectangular projection,等距长方投影；等距圆柱投影,2022.08.03,
21397100,equivalent projection,等积投影,2022.07.21,
21397101,Eratosthenes,埃拉托斯特尼,2022.07.21,
21397102,ERDAS,ERDAS软体,2022.07.21,
21397103,etch and peel,蚀刻膜,2022.10.13,
21397104,expendable bathythermograph (XBT),抛弃式深温仪,2023.05.09,
21397105,expendable conductivity temperature depth (XCTD),抛弃式盐温深仪,2023.05.09,
21397106,explicit representation,显式表现,2026.02.05,
21397107,extensional organization,延伸式结构,2022.10.13,
21397108,false azimuth,假方位角；伪方位角,2023.07.05,
21397109,false easting,坐标西移量；假东,2022.10.13,
21397110,false northing,坐标南移量；假北,2022.10.13,
21397111,favorable wind,顺风,2026.04.16,
21397112,feature,图征,2022.10.13,
21397113,feature attribute,图征属性,2022.10.13,
21397114,feature dimensionality,图征维度,2022.10.13,
21397115,feature map,特征图,2023.05.09,
21397116,feature pyramid network (FPN),特征金字塔网路,2023.08.30,
21397117,feature separation,图征分层,2022.10.13,
21397118,feature vector,特征向量,2023.05.09,
21397119,Federal Geographic Data Committee (FGDC),美国联邦地理资料委员会,2022.10.13,
21397120,fetch,风域；受风距离,2026.04.16,
21397121,few-shot learning (FSL),少样本学习,2024.08.16,
21397122,field-to-finish surveying system,现地测绘系统,2023.03.02,
21397123,figure-ground relationship,形底关系,2025.09.24,
21397124,film base,软片基体,2023.03.02,
21397125,film development,底片显影；底片冲洗,2023.03.02,
21397126,film plotter,软片绘图仪,2023.03.02,
21397127,film plotting,软片绘图,2023.03.02,
21397128,film recorder,软片记录器,2023.03.02,
21397129,film registration,软片对位,2023.03.02,
21397130,film sensitivity,底片感光度,2023.03.02,
21397131,fine-tuning,微调,2023.07.05,
21397132,first velocity correction,第一速度改正,2026.03.12,
21397133,first-order vertical control,一等高程控制,2022.05.19,
21397134,fish finder,鱼探机,2023.05.09,
21397135,five-color press,五色印刷机,2023.03.02,
21397136,fixed-sequence animation,定序动画,2023.03.02,
21397137,flat color printing,平网彩印,2023.03.02,
21397138,flatbed plotter,平台式绘图机,2023.03.02,
21397139,flight simulation,飞行模拟,2023.03.02,
21397140,floating tide gauge,浮式潮位计,2026.04.16,
21397141,flood,涨潮,2025.10.08,
21397142,flood light source,泛光光源,2023.03.02,
21397143,fly-over,飞越,2023.03.02,
21397144,fly-through,飞穿,2023.03.02,
21397145,focusing screw,聚焦螺旋；调焦螺旋,2026.03.12,
21397146,fogging,残膜；蒙翳,2025.09.24,
21397147,font size,字型大小,2023.03.02,
21397148,font type size,字型大小,2025.09.24,
21397149,footprint,足迹,2026.01.15,
21397150,format transformation,格式转换,2023.03.02,
21397151,forward propagation,前向传播,2023.05.09,
21397152,four-color process printing,四色印刷；四原色印刷,2023.07.26,
21397153,four-color theorem,四色定理；四原色定理,2023.07.26,
21397154,frame buffer,画面暂存体；视框缓冲区,2023.07.26,
21397155,free space detection,可用空间侦测,2022.11.03,
21397156,freehand lettering,手工书写,2022.05.19,
21397157,freehand scribing,徒手雕绘,2023.07.26,
21397158,freeman code,链码,2023.07.26,
21397159,freeze frame,定格,2023.07.26,
21397160,frequency graph,频率图,2023.07.26,
21397161,frequency modulation (FM),调频；频率调制,2025.03.06,
21397162,frequency-modulated waveform,调频波形,2026.01.15,
21397163,frontlighting reflection copy,前光反射复印,2025.09.24,
21397164,full driving automation,全自动驾驶,2022.07.21,
21397165,full width at half maximum (FWHM),半峰全宽；半高全宽,2024.02.06,
21397166,fully connected layer,全连接层,2023.05.09,
21397167,functional design,功能设计,2023.07.26,
21397168,gamma correction,伽玛校正,2023.07.26,
21397169,gamma curve,伽玛特征曲线；γ特征曲线,2026.04.16,
21397170,general reference map,通用参考图,2023.07.26,
21397171,generative 3D modeling,生成式三维建模,2026.02.05,
21397172,generative adversarial network (GAN),生成对抗网络,2024.08.16,
21397173,generative AI (GenAI),生成式人工智慧,2025.04.29,
21397174,generative artificial intelligence,生成式人工智慧,2025.04.29,
21397175,generative model,生成模型,2024.08.16,
21397176,generator,生成器,2024.08.16,
21397177,geocoding,地理编码,2023.07.26,
21397178,geodesist,大地测量师；大地测量员,2023.08.30,
21397179,geodetic control point,大地控制点,2023.08.30,
21397180,geodetic latitude and longitude determination,大地经纬度测定,2023.08.30,
21397181,geodetic satellite (GEOSAT),大地测量卫星,2023.12.07,
21397182,geographic base data,地理基础资料,2023.08.30,
21397183,geographic boundary file,地理边界档,2023.08.30,
21397184,geographic coordinate system,地理坐标系统,2023.08.30,
21397185,geographic data,地理资料,2023.08.30,
21397186,geographic direction,地理方向；真方向,2023.08.30,
21397187,geographic information system (GIS),地理资讯系统,2023.08.30,
21397188,geographic mean,地理均值,2023.08.30,
21397189,geographic median,地理中位数,2023.08.30,
21397190,geographic names information system (GNIS),地名资讯系统,2023.12.07,
21397191,geographic volume,地理量体,2023.12.07,
21397192,geographical coordinates,地理坐标,2023.12.07,
21397193,geographical data,地理资料,2023.12.07,
21397194,geographical ordering,地理顺序,2023.08.30,
21397195,geoid-ellipsoid height difference,大地水准面与椭球面高差,2023.12.07,
21397196,geometric map,几何地图,2022.03.14,
21397197,geometric series,几何级数；等比级数,2023.12.07,
21397198,geometric spreading,几何扩散,2025.10.08,
21397199,geometric symbol,几何符号,2022.06.16,
21397200,geometric transformation,几何转换,2023.12.07,
21397201,geomorphology,地貌学；地形学,2025.10.08,
21397202,geomorphometry,地形计测学；地形计量学,2022.06.16,
21397203,geopotential datums,重力位基准,2026.04.16,
21397204,Geostationary Operational Environmental Satellite (GOES),同步环境应用卫星 {美气象卫星},2025.09.24,
21397205,geo-synchronous satellite,地球同步卫星,2023.07.26,
21397206,GIS functionality,地理资讯系统功能,2023.08.30,
21397207,global attention,全域注意；全域注意力,2024.08.16,
21397208,gnomonic projection,日晷投影,2023.12.07,
21397209,GNSS tidal measurement,GNSS潮位量测,2023.05.09,
21397210,GNSS tide,GNSS潮位,2023.05.09,
21397211,Goode's interrupted homolosine projection,古特分瓣同正弦投影,2023.12.07,
21397212,gothic typeface,哥德式字体,2023.12.07,
21397213,gradient descent,梯度下降,2023.05.09,
21397214,graduated circle,刻划度盘,2026.03.12,
21397215,graphic arts photography,制版照相,2023.12.07,
21397216,graphic communication,图示沟通,2023.12.07,
21397217,graphic complexes,图形复合体；复合图形,2023.12.07,
21397218,graphic data exchange standard,图形资料交换标准,2025.09.24,
21397219,graphic design,图形设计,2023.12.07,
21397220,graphic element,图形元素,2023.12.07,
21397221,graphic file format,图形档案格式,2023.12.07,
21397222,graphic ideation,图形构思,2022.06.27,
21397223,graphic mark,图形标,2023.12.07,
21397224,graphic mark registry,图形标对位,2023.12.07,
21397225,graphic quality,图形品质,2023.12.07,
21397226,graphic registry mark,图形对位标,2023.12.07,
21397227,graphic structuring,图形结构,2023.12.07,
21397228,graphic template for screen angling,网屏调角图形模板,2023.12.07,
21397229,graphical kernel system (GKS),图形核心系统,2024.06.11,
21397230,graphical toolbox,图形工具箱,2023.12.07,
21397231,graphical user interface (GUI),图形使用者介面,2025.10.08,
21397232,graphics workstation,图形工作站,2023.12.07,
21397233,gravity concept,重力概念,2023.12.07,
21397234,gray scale,灰度；灰阶,2023.12.07,
21397235,grazing angle,掠射角；入射余角,2026.01.15,
21397236,great circle distance calculation,大圆距离计算,2023.12.07,
21397237,grid reference,参考网格,2023.12.07,
21397238,ground based augmentation system (GBAS),地基增强系统,2025.03.06,
21397239,ground range,地面距离,2023.12.07,
21397240,ground resolution,地面解析度,2023.12.07,
21397241,ground swing,地面反射,2025.03.06,
21397242,ground truth,地真；真实标签,2023.08.30,
21397243,group refractivity,群折射度,2025.03.06,
21397244,gyro compass,电罗经,2023.07.05,
21397245,gyro-azimuth theodolite,真北经纬仪；真北仪,2023.07.05,
21397246,gyrocompass,陀螺仪；电罗经,2023.12.07,
21397247,gyroscopic theodolite,真北经纬仪；真北仪,2023.07.05,
21397248,hand-crafted feature,人为设计特征,2023.05.09,
21397249,handheld LiDAR,手持式光达,2026.02.05,
21397250,harbor chart,港区图；港口图；港内航线图；港图,2025.10.08,
21397251,hard attention,硬注意；硬注意力,2024.08.16,
21397252,harmonic analysis,谐和分析,2026.04.16,
21397253,harmonic method,调和分析法；调和法,2026.04.16,
21397254,harmonic model,调和模式,2026.04.16,
21397255,heading,航偏角,2023.07.05,
21397256,heave,上下起伏,2023.07.05,
21397257,heterodyning method,外差法,2025.03.06,
21397258,Hewlett-Packard graphic language (HP-GL),HP 图形语言,2022.06.27,
21397259,high definition map (HD Map),高精地图,2022.03.14,
21397260,high driving automation,高度自动驾驶,2022.07.21,
21397261,high water,高潮,2023.03.29,
21397262,highest astronomical tide (HAT),最高天文潮,2023.03.29,
21397263,high-pass filter,高通滤波器,2023.03.02,
21397264,HLS color model,HLS 色彩模式,2022.06.27,
21397265,hole registry,圆孔定位,2024.02.06,
21397266,holiday,空缺；资料空缺；间隙；资料间隙,2023.03.29,
21397267,home port    ,母港,2023.05.09,
21397268,homolatitude,等纬度,2022.06.27,
21397269,horizontal position,水平位置,2022.06.27,
21397270,horizontal resolution,水平解析度,2026.01.15,
21397271,HSI color model,HSI色彩模式,2022.06.27,
21397272,HSV color model,HSV色彩模式,2022.06.27,
21397273,hue,色相,2025.10.08,
21397274,hue sensitivity,色相灵敏度,2022.05.19,
21397275,"hue, lightness, saturation (HLS)",色相、亮度、饱和度,2022.06.27,
21397276,"hue, saturation, intensity (HSI)",色相、饱和度、强度,2026.04.16,
21397277,"hue, saturation, value (HSV)",色相、饱和度、亮度,2022.06.27,
21397278,"hue, value, chroma (HVC)",色相、亮度、色度,2022.06.27,
21397279,hue-value color combination,色相-亮度色彩组合,2022.06.27,
21397280,human space flight remote sensing,载人太空飞行遥感探测,2022.06.27,
21397281,HVC color model,HVC 色彩模式,2022.06.27,
21397282,hydrographic surveying,海洋测量,2023.05.09,
21397283,hydrophone,水下听音器,2026.03.30,
21397284,hyperparameter,超参数,2023.05.09,
21397285,IDRISI,IDRISI软体,2022.06.27,
21397286,illustration software,绘图软体,2022.06.27,
21397287,image annotation,影像标注,2023.08.30,
21397288,image captioning,影像描述；影像说明,2026.03.12,
21397289,image combination,影像合成,2022.06.27,
21397290,image contrast,影像对比,2022.06.27,
21397291,image degradation,影像退化,2022.06.27,
21397292,image editor,影像编辑器,2022.06.27,
21397293,image enhancement,影像增显,2022.07.21,
21397294,image geometry,影像几何,2022.06.27,
21397295,image interpolation,影像内插,2022.08.03,
21397296,image interpretation elements,影像判释元素；影像判释要素,2022.06.27,
21397297,image interpretation key,影像判释样板,2022.11.03,
21397298,image interpretation template,影像判释样板,2022.11.03,
21397299,image local feature,影像局部特征,2023.05.09,
21397300,image mapping software,影像制图软体,2022.06.27,
21397301,image mosaic,影像镶嵌,2022.06.16,
21397302,image processing,影像处理,2022.06.27,
21397303,image projection,影像投影,2022.06.27,
21397304,image recognition,影像辨识,2023.05.09,
21397305,image recorder,影像记录器,2022.06.27,
21397306,image sharpening,影像锐化,2022.06.27,
21397307,image-based rendering (IBR),影像式渲染,2026.02.05,
21397308,imagesetter,影像排版输出机；图像排版输出机,2022.06.27,
21397309,impedance,阻抗,2025.10.08,
21397310,implicit neural representation (INR),隐式神经表示,2026.02.05,
21397311,implicit representation,隐式表现,2026.02.05,
21397312,incidence angle,入射角,2026.01.15,
21397313,incremental plotter,递增式绘图仪,2022.06.27,
21397314,Indian spring low water (ISLW),印度洋大潮低潮,2023.03.29,
21397315,induction,归纳,2022.06.27,
21397316,inductive generalization,归纳式缩编；归纳概括化,2022.06.27,
21397317,inertial navigation,惯性导航,2022.06.27,
21397318,inertial positioning,惯性定位,2022.06.27,
21397319,inference,推论,2023.08.30,
21397320,information system,资讯系统,2022.06.27,
21397321,infrared (IR),红外线,2022.10.13,
21397322,infrared color film,红外线彩色底片,2022.06.27,
21397323,infrared sensor,红外线感测器,2022.11.03,
21397324,initial graphics exchange specification (IGES),初始图形交换规格,2022.06.27,
21397325,inset,插图,2022.06.27,
21397326,instance segmentation,实例分割,2022.11.03,
21397327,intaglio printing,凹版印刷,2022.06.27,
21397328,integral system,整合系统,2022.06.27,
21397329,integrating technologies,技术整合,2022.03.14,
21397330,intelligent transport system (ITS),智慧型运输系统,2022.03.14,
21397331,interactive cartography,互动式制图学,2022.08.03,
21397332,interactive videodisk technology,互动式影碟科技,2022.08.03,
21397333,interferometric sonar,干涉声纳,2026.01.15,
21397334,Intergraph MGE,GIS软体；模组化地理资讯系统环境；模组化地理资讯系统平台,2026.04.01,
21397335,interlacing,交错扫描；隔行扫描,2022.08.03,
21397336,International Great Lakes Datum (IGLD),国际五大湖基准,2025.09.24,
21397337,International Height Reference Frame (IHRF),国际高度参考框架,2026.01.15,
21397338,International Height Reference System (IHRS),国际高程参考系统,2026.01.15,
21397339,Internet,网际网路,2022.08.03,
21397340,internet telecommunication,网际网路通讯,2022.03.14,
21397341,interpretation element,判释元素,2022.10.13,
21397342,interrupted projection,分瓣投影,2022.10.13,
21397343,intersection over union (IoU),交联集比例；交联比,2023.07.05,
21397344,intervisibility,通视,2022.10.13,
21397345,inverted position,倒镜 {经纬仪},2026.03.12,
21397346,irradiation,辐照度,2022.10.13,
21397347,irradiation illusion,辐照错觉,2022.10.13,
21397348,isarithm,等值线,2022.10.13,
21397349,isarithmic map,等值线图,2022.10.13,
21397350,isarithmic mapping,等值线制图,2022.03.14,
21397351,isogram,等值图；重力等差线,2026.01.15,
21397352,isoline,等值线,2026.01.15,
21397353,isometric line,等值线,2026.03.12,
21397354,isopleth,等值区域面,2026.03.12,
21397355,isoplethic mapping,等值区域面制图,2026.03.12,
21397356,Joint Photographic Experts Group Format (JPEG),联合图像专家小组格式,2022.11.03,
21397357,JPEG compression,JPEG 压缩,2022.11.03,
21397358,k-fold cross-validation,k折交叉验证,2024.08.16,
21397359,knowledge graph,知识图谱,2026.03.12,
21397360,knowledge representation,知识表现,2022.11.03,
21397361,lamination process,贴膜处理,2022.11.03,
