ID,英文名詞,中文名詞,審譯日期,更新日期
21381972,advance works,前期工程；先期作业,113.06.14,2026-04-30
21381973,adverse geological condition,不良地质情况；不良地质条件,113.06.14,2026-04-30
21381974,aeolian deposit,风积层；风积土,113.04.19,2025-11-13
21381975,aeolian soil,风积土,113.06.14,2026-04-30
21381976,aerated water,气溶水,113.06.14,2026-04-30
21381977,aeration zone,通气带,113.06.14,2026-04-30
21381978,aeration zone water,通气带水,113.06.14,2026-04-30
21381979,aerobe,好氧菌；需氧菌,113.06.14,2026-04-30
21381980,age dating,定年,113.06.14,2025-11-13
21381981,ageing,老化,113.06.14,2026-04-30
21381982,agglomerate,集块岩,113.06.14,2026-04-30
21381983,aggregate,团粒；粒料,113.06.14,2026-04-30
21381984,aggregate abrasion value,粒料耐磨值,113.06.14,2026-04-30
21381985,aggregate impact value,粒料冲击强度值,113.06.14,2026-04-30
21381986,agitator,搅拌器,113.06.14,2026-04-30
21381987,A-horizon,土壤A层；土壤风化表层,113.06.14,2026-04-30
21381988,air compressor,空气压缩机,113.06.14,2026-04-30
21381989,air content,含气率 ,113.06.14,2025-11-13
21381990,air jet,喷射气流；喷嘴,113.06.14,2026-04-30
21381991,air permeability,透气性；透气率,113.06.14,2026-04-30
21381992,air permeability test,透气性试验；透气率试验,113.06.14,2026-04-30
21381993,air void,空气孔隙；气隙,113.06.14,2025-11-13
21381994,air void ratio,气隙比 ,113.06.14,2025-11-13
21381995,air-dried soil,气干土,113.06.14,2026-04-30
21381996,air-lift equipment,气升设备；气升泵,113.06.14,2026-04-30
21381997,air-lock,气闸,113.06.14,2026-04-30
21381998,alert level,警戒层级；警戒值,113.06.14,2026-04-30
21381999,alignment,定线；路线,113.06.14,2025-11-13
21382000,alignment survey,定线测量,113.06.14,2026-04-30
21382001,A-line,塑性图A线,113.06.14,2026-04-30
21382002,allowable amplitude,容许振幅,113.06.14,2026-04-30
21382003,allowable bearing capacity,容许承载力；容许支承力,113.06.14,2025-11-13
21382004,allowable deformation,容许变形,113.06.14,2026-04-30
21382005,allowable displacement,容许位移,113.06.14,2026-04-30
21382006,allowable error,容许误差,113.06.14,2026-04-30
21382007,allowable loading,容许荷载 ,113.06.14,2025-11-13
21382008,allowable settlement,容许沉陷量,113.06.14,2026-04-30
21382009,alluvial plain,冲积平原,113.06.14,2026-04-30
21382010,alluvial soil,冲积土,113.06.14,2026-04-30
21382011,alluvial terrace,冲积阶地,113.06.14,2026-04-30
21382012,alluvium,冲积物；冲积层,113.06.14,2026-04-30
21382013,all-weather,全天候,113.06.14,2026-04-30
21382014,alternating loading,反复荷载,113.06.14,2025-11-13
21382015,altimeter,测高仪,113.06.14,2026-04-30
21382016,altitude,高程；海拔,113.06.14,2026-04-30
21382017,aluminum octahedron,铝八面体,113.06.14,2026-04-30
21382018,ambient pressure,环境压力,113.06.14,2026-04-30
21382019,ambient temperature,环境温度,113.06.14,2026-04-30
21382020,amplification factor,放大因数,113.06.14,2026-04-30
21382021,amplitude ratio,振幅比,113.06.14,2026-04-30
21382022,anaerobe,厌氧菌；厌氧生物,113.06.14,2026-04-30
21382023,anaerobic sulfate-reducing bacteria,厌氧硫酸盐还原菌,113.06.14,2025-11-13
21382024,anchor pile,锚定桩,113.06.14,2026-04-30
21382025,anchor plate,锚定板,113.06.14,2026-04-30
21382026,anchor rod,锚杆,113.06.14,2026-04-30
21382027,anchor slab,锚定版,113.04.19,2025-11-13
21382028,anchor wall,锚定墙,113.06.14,2026-04-30
21382029,anchored retaining wall,锚定式挡土墙,113.05.22,2025-11-13
21382030,ancillary works,附属工程,113.06.14,2026-04-30
21382031,andesite,安山岩,113.06.14,2026-04-30
21382032,andesite tuff,安山凝灰岩,113.06.14,2026-04-30
21382033,anemometer,风速计,113.06.14,2026-04-30
21382034,ANFO blasting agent,硝酸铵油混合炸药,113.06.14,2026-04-30
21382035,angle of contact,接触角,113.06.14,2026-04-30
21382036,angle of dilatancy,膨胀角,113.06.14,2026-04-30
21382037,angle of external friction,外摩擦角,113.06.14,2026-04-30
21382038,angle of inclination,倾角,113.06.14,2026-04-30
21382039,angle of internal friction,内摩擦角,113.04.19,2025-11-13
21382040,angle of reach,抵达角,113.06.14,2026-04-30
21382041,angle of repose,安息角,113.06.14,2026-04-30
21382042,angle of skin friction,表面摩擦角,113.06.14,2026-04-30
21382043,angle of slope,坡角；斜坡角度,113.06.14,2026-04-30
21382044,angle of wall friction (δ) ,墙背摩擦角,113.06.14,2026-04-30
21382045,angularity chart,棱角度对比图,113.07.11,2026-04-30
21382046,angularity factor,棱角度因数,113.07.11,2026-04-30
21382047,anhydrite,硬石膏；无水石膏,113.07.11,2026-04-30
21382048,anion adsorption,阴离子吸附,113.07.11,2026-04-30
21382049,anion exchange,阴离子交换,113.07.11,2026-04-30
21382050,anisotropic consolidation,异向性压密；异向性固结,113.07.11,2026-04-30
21382051,anisotropic hardening,异向性硬化,113.07.11,2026-04-30
21382052,anisotropic medium,异向性介质,113.07.11,2026-04-30
21382053,anisotropic soil,异向性土壤,113.07.11,2026-04-30
21382054,anisotropy,异向性,113.07.11,2026-04-30
21382055,anticline,背斜,113.07.11,2026-04-30
21382056,anti-slide pile,抗滑桩,113.07.11,2026-04-30
21382057,anvil,砧,113.07.11,2026-04-30
21382058,aplite,细晶岩,113.07.11,2026-04-30
21382059,apparent angle of internal friction,视内摩擦角,113.07.11,2026-04-30
21382060,apparent bulk density,视统体密度,113.04.25,2026-04-30
21382061,apparent cohesion,视凝聚力,113.04.25,2026-04-30
21382062,apparent preconsolidation pressure,视预压密压力,113.07.11,2026-04-30
21382063,apparent saturated density,视饱和密度,113.04.25,2025-11-13
21382064,apparent saturated surface dry density,视饱和面干密度,113.04.25,2025-11-13
21382065,apparent shearing strength,视抗剪强度,113.07.11,2026-04-30
21382066,apparent velocity,视流速,113.07.11,2026-04-30
21382067,apron,护坦,113.07.11,2026-04-30
21382068,aquiclude,不透水层,113.07.11,2026-04-30
21382069,aquifer,含水层,113.07.11,2026-04-30
21382070,aquitard,阻水层；半透水层；滞水层,113.07.11,2026-04-30
21382071,arch action,拱作用 ,113.07.11,2025-11-13
21382072,arching,成拱作用,113.07.11,2026-04-30
21382073,area load,面荷载,113.07.11,2026-04-30
21382074,area ratio,面积比,113.07.11,2026-04-30
21382075,argillaceous rock,泥质岩,113.07.11,2026-04-30
21382076,arid region,干燥区,113.07.11,2026-04-30
21382077,armour,护面,113.07.11,2026-04-30
21382078,armour layer,护面层,113.07.11,2026-04-30
21382079,armour rock,护面块石,113.07.11,2026-04-30
21382080,artesian aquifer,自流含水层,113.07.11,2026-04-30
21382081,artesian basin,自流盆地,113.07.11,2026-04-30
21382082,artificial ground,人工地盘,113.07.11,2026-04-30
21382083,aseismatic design,耐震设计,113.07.11,2026-04-30
21382084,aseismic region,无震区,113.07.11,2026-04-30
21382085,asphalt mix design,沥青配比设计,113.07.11,2026-04-30
21382086,asphalt paver,沥青铺面机,113.07.11,2026-04-30
21382087,associated  flow rule,谐和流法则,113.07.11,2025-11-13
21382088,attenuation,衰减,113.07.11,2026-04-30
21382089,Atterberg limits,阿太堡限度,113.07.11,2026-04-30
21382090,attitude,位态,113.07.11,2026-04-30
21382091,auger,螺旋钻,113.07.11,2026-04-30
21382092,auger bit,螺旋钻头,113.07.11,2026-04-30
21382093,auger boring,螺旋钻探,113.07.11,2026-04-30
21382094,auger drill,螺旋钻,113.07.11,2026-04-30
21382095,auger pile,螺旋钻掘桩,113.07.11,2026-04-30
21382096,autograph,自动绘图机,113.07.11,2026-04-30
21382097,autographic record,自动记录,113.07.11,2026-04-30
21382098,automatic rain gauge,自动雨量计,113.07.11,2026-04-30
21382099,avalanche,崩滑；山崩；雪崩,113.07.11,2026-04-30
21382100,axial bearing capacity,轴向承载力,113.07.11,2026-04-30
21382101,axial compression,轴向压缩,113.07.11,2026-04-30
21382102,axial extension test,轴向拉伸试验,113.07.11,2026-04-30
21382103,axial load,轴向荷载,113.07.11,2026-04-30
21382104,axial pressure,轴向压力,113.07.11,2026-04-30
21382105,axial strain,轴向应变,113.07.11,2026-04-30
21382106,axial stress,轴向应力,113.07.11,2026-04-30
21382107,axial symmetry,轴对称,113.07.11,2026-04-30
21382108,azimuth,方位角,113.07.11,2026-04-30
21382109,back analysis,反算分析,113.07.11,2026-04-30
21382110,back calculation,反算法,113.07.11,2026-04-30
21382111,back drain,墙背排水,113.07.11,2026-04-30
21382112,back pressure,背压；反压；反水压,113.07.11,2026-04-30
21382113,backfill,回填土；回填,113.07.11,2026-04-30
21382114,background noise level,背景噪音位准；背景噪音水平,113.07.11,2026-04-30
21382115,backward erosion,逆向侵蚀,113.07.11,2026-04-30
21382116,backwater effect,回水作用,113.07.11,2026-04-30
21382117,bad land,恶地；劣地,113.07.11,2026-04-30
21382118,bagged concrete,袋装混凝土,113.07.11,2026-04-30
21382119,bailer,汲筒,113.07.11,2026-04-30
21382120,balance cone,平衡锥｛稠度试验｝,113.07.11,2026-04-30
21382121,ballast,道碴,113.07.11,2026-04-30
21382122,balloon densimeter,球式密度计,113.07.11,2026-04-30
21382123,balloon volumeter,球式体积仪,113.07.11,2026-04-30
21382124,band-shaped prefabricated drain,带状预制排水板,113.07.11,2026-04-30
21382125,bank,堤岸；河岸,113.07.11,2025-11-13
21382126,bar bending schedule,钢筋加工表,113.08.22,2026-04-30
21382127,barge,驳船；平底船,113.07.11,2026-04-30
21382128,barging point,驳船点,113.07.11,2026-04-30
21382129,barrette,方形桩；矩形桩,113.08.22,2026-04-30
21382130,barrette pile,壁桩 ,113.08.22,2025-11-13
21382131,barrier effect,屏障效应,113.08.22,2026-04-30
21382132,basal conglomerate,底砾岩；基底砾岩,113.08.22,2026-04-30
21382133,basalt,玄武岩,113.08.22,2026-04-30
21382134,basalt dyke,玄武岩岩脉,113.08.22,2026-04-30
21382135,base course,底层,113.08.22,2026-04-30
21382136,base level,基准面,113.08.22,2026-04-30
21382137,basic igneous rock,基性火成岩,113.08.22,2026-04-30
21382138,batholith,岩基,113.08.22,2026-04-30
21382139,bathymetry,测深法；测深学,113.08.22,2026-04-30
21382140,Baume hydrometer,波美比重计,113.08.22,2026-04-30
21382141,bearing capacity,承载力,113.08.22,2026-04-30
21382142,bearing capacity factor,承载力因数,113.08.22,2026-04-30
21382143,bearing graph,承载力曲线图,113.08.22,2026-04-30
21382144,bearing layer,承载层,113.08.22,2026-04-30
21382145,bearing pile,支承桩；承载桩,113.08.22,2026-04-30
21382146,bearing plate,承载板,113.08.22,2026-04-30
21382147,bearing stratum,承载层；承载地层,113.08.22,2025-11-13
21382148,bearing test,载重试验；载荷试验,113.08.22,2026-04-30
21382149,bedding,层理；层面,113.08.22,2026-04-30
21382150,bedding layer,垫层；底层,113.08.22,2026-04-30
21382151,bedding plane,层面,113.08.22,2026-04-30
21382152,bedrock,基岩；基盘,113.08.22,2026-04-30
21382153,belled pile,扩座桩,113.08.22,2026-04-30
21382154,belling bucket,扩座挖斗,113.08.22,2026-04-30
21382155,benched foundation,阶式基础,113.08.22,2026-04-30
21382156,bending strength,抗弯强度,113.08.22,2026-04-30
21382157,bentonite,膨润土,113.08.22,2026-04-30
21382158,bentonite liner,膨润土衬垫,113.08.22,2026-04-30
21382159,bentonite slurry,膨润土泥浆,113.08.22,2026-04-30
21382160,berm,护堤,113.08.22,2026-04-30
21382161,bermstone,护脚石；护堤石,113.08.22,2026-04-30
21382162,berth,泊位,113.08.22,2026-04-30
21382163,berthing,停泊,113.08.22,2026-04-30
21382164,berthing condition,靠泊条件,113.08.22,2026-04-30
21382165,B-horizon,B积层,113.08.22,2026-04-30
21382166,bias of risk,风险偏差,113.08.22,2026-04-30
21382167,biaxial state of stress,双轴应力状态,113.08.22,2026-04-30
21382168,bilinear model,双线性模式,113.08.22,2026-04-30
21382169,bills of quantities,数量清单；工料清单,113.08.22,2026-04-30
21382170,binder,胶结料；黏结剂；结合料,113.04.25,2025-11-13
21382171,binder course,黏结层,113.08.22,2026-04-30
21382172,Bingham model,宾汉模式,113.08.22,2026-04-30
21382173,biological weathering,生物风化,113.08.22,2026-04-30
21382174,biotite,黑云母,113.08.22,2026-04-30
21382175,Biot's consolidation theory ,Biot压密理论,113.08.22,2026-04-30
21382176,bird's-eye view,鸟瞰图；俯视图,113.08.22,2026-04-30
21382177,Bishop's simplified method of slice,Bishop简化切片法,113.08.22,2026-04-30
21382178,bit,钻头,113.04.25,2025-11-13
21382179,bitumen,沥青,113.08.22,2026-04-30
21382180,bitumen grouting,沥青灌浆,113.08.22,2026-04-30
21382181,blanket grouting,覆毯灌浆；护坦灌浆；铺盖灌浆,113.08.22,2025-11-13
21382182,blast,爆破,113.08.22,2026-04-30
21382183,blastibility,可爆破度,113.04.25,2025-11-13
21382184,blasting compaction,炸震夯实；炸震压实,113.04.19,2025-11-13
21382185,blasting compaction method,炸震夯实法,113.08.22,2026-04-30
21382186,blasting works,爆破工程,113.08.22,2026-04-30
21382187,bleeder well,减压井；泄压井,113.08.22,2026-04-30
21382188,bleeding,溢流；泌水｛水泥混凝土｝；泛油｛沥青混凝土｝,113.04.25,2026-04-30
21382189,bleeding rate,溢流率；泌水速率｛水泥混凝土｝,113.04.25,2026-04-30
21382190,blind catch basin,截留阴井；截留盲井,113.08.22,2026-04-30
21382191,blind drain,盲沟,113.08.22,2026-04-30
21382192,blinding layer,垫层,113.08.22,2026-04-30
21382193,blockage,堵塞；淤塞,113.08.22,2026-04-30
21382194,blockwork wall,砌块墙,113.08.22,2026-04-30
21382195,blow count,打击数,113.08.22,2026-04-30
21382196,blow-in,涌入,113.04.25,2025-11-13
21382197,bluff,陡岸；悬崖；峭壁,113.08.22,2026-04-30
21382198,body force,彻体力；物体力,113.08.22,2026-04-30
21382199,body wave,体波,113.08.22,2026-04-30
21382200,bog,沼泽,113.04.25,2025-11-13
21382201,boiling,砂涌,113.08.22,2026-04-30
21382202,bolt,螺栓,113.08.22,2026-04-30
21382203,bolting,栓固,113.08.22,2026-04-30
21382204,bond,握裹；黏著；黏结,113.08.22,2026-04-30
21382205,bonding,键结；黏合；结合,113.08.22,2026-04-30
21382206,bookhouse fabric,书堆组构,113.08.22,2026-04-30
21382207,border pile,地界桩,113.08.22,2026-04-30
21382208,bored pile,钻掘桩,113.08.22,2026-04-30
21382209,borehole,钻孔,113.08.22,2026-04-30
21382210,borehole camera,孔内摄影机,113.08.22,2026-04-30
21382211,borehole extensometer,孔内伸张仪,113.08.22,2026-04-30
21382212,borehole log,钻孔柱状图,113.04.25,2025-11-13
21382213,borehole logging,井录,113.04.19,2025-11-13
21382214,borehole specimen,钻孔试样,113.08.22,2026-04-30
21382215,borehole television log,钻孔摄影柱状图,113.04.25,2025-11-13
21382216,borescope,管道镜,113.08.22,2026-04-30
21382217,boring (for ground investigation),钻孔；钻探,113.08.22,2026-04-30
21382218,boring bit,钻头,113.08.22,2026-04-30
21382219,boring casing,钻探套管；钻孔套管,113.08.22,2026-04-30
21382220,boring frame,钻架,113.08.22,2026-04-30
21382221,boring log,钻孔柱状图,113.04.19,2025-11-13
21382222,boring machine,钻机,113.08.22,2026-04-30
21382223,boring rig,钻机,113.08.22,2026-04-30
21382224,boring rod,钻杆,113.08.22,2026-04-30
21382225,borrow area,借土区,113.08.22,2026-04-30
21382226,borrow pit,取土坑,113.08.22,2026-04-30
21382227,bottom charge,底部装药,113.04.25,2025-11-13
21382228,bottom dump,底式卸载,113.08.22,2026-04-30
21382229,bottom heave,底部隆起,113.08.22,2026-04-30
21382230,bottom pressure,底部压力,113.08.22,2026-04-30
21382231,boulder,巨砾；巨石,113.04.19,2025-11-13
21382232,boulder clay,冰川砾泥；冰砾泥,113.09.10,2025-11-13
21382233,boulder fence,防石栏,113.09.10,2026-04-30
21382234,bound water,束缚水；结合水,113.09.10,2026-04-30
21382235,boundary condition,边界条件,113.09.10,2026-04-30
21382236,boundary element,边界元素,113.09.10,2026-04-30
21382237,boundary element method,边界元素法,113.09.10,2026-04-30
21382238,boundary element method (BEM),边界元素法,114.08.22,2025-11-13
21382239,boundary mark,界标,113.09.10,2026-04-30
21382240,boundary wall,边界墙,113.09.10,2026-04-30
21382241,Bourdon gauge,巴登管压力计,113.09.10,2026-04-30
21382242,Boussinesq solution,布新内斯克解,113.09.10,2026-04-30
21382243,Boussinesq theory,布新内斯克理论,113.09.10,2026-04-30
21382244,box caisson,箱型沈箱,113.09.10,2026-04-30
21382245,box culvert,箱涵,113.09.10,2026-04-30
21382246,box foundation,箱型基础,113.09.10,2026-04-30
21382247,box pile,箱型桩,113.09.10,2026-04-30
21382248,B-parameter,孔隙压力系数B,113.09.10,2026-04-30
21382249,braced excavation,支撑开挖,113.09.10,2026-04-30
21382250,braced sheeting,支撑挡板,113.09.10,2026-04-30
21382251,bracing,支撑,113.09.10,2026-04-30
21382252,Brazilian test,巴西人试验,113.09.10,2026-04-30
21382253,break damage,破裂损坏,113.09.10,2026-04-30
21382254,breakdown pressure,破裂压力,113.09.10,2026-04-30
21382255,breaking strain,破裂应变；断裂应变,113.09.10,2026-04-30
21382256,breaking stress,破裂应力；断裂应力,113.09.10,2026-04-30
21382257,breaking wave,碎波,113.09.10,2026-04-30
21382258,breakwater,防波堤,113.09.10,2026-04-30
21382259,breakwater stone,防波抛石,113.04.25,2025-11-13
21382260,breast wall,胸墙,113.09.10,2026-04-30
21382261,breccia,角砾岩,113.09.10,2026-04-30
21382262,bridge abutment,桥台,113.09.10,2026-04-30
21382263,British Standards (BS),英国标准,113.09.10,2026-04-30
21382264,British Standards Institution (BSI),英国标准协会 ,113.09.10,2025-11-13
21382265,brittle failure,脆性破坏,113.09.10,2026-04-30
21382266,brittle fracture,脆裂；脆性破裂,113.09.10,2026-04-30
21382267,brittleness index,脆性指数,113.09.10,2026-04-30
21382268,Brownian movement,布朗运动,113.09.10,2026-04-30
21382269,bucket auger,勺形钻,113.09.10,2026-04-30
21382270,bucket dredger,斗式挖泥船,113.09.10,2026-04-30
21382271,buckling,挫屈,113.09.10,2026-04-30
21382272,bulb pile,球根桩,113.09.10,2026-04-30
21382273,bulging,鼓胀,113.09.10,2025-11-13
21382274,bulk compressibility,统体压缩性,113.09.10,2026-04-30
21382275,bulk density,统体密度,113.09.10,2026-04-30
21382276,bulk explosive,散装炸药,113.09.10,2026-04-30
21382277,bulk modulus,统体模数,113.09.10,2026-04-30
21382278,bulk shrinkage,体缩,113.09.10,2026-04-30
21382279,bulk solid,统体固体,113.04.25,2025-11-13
21382280,bulk unit weight,统体单位重,113.09.10,2026-04-30
21382281,bulk volume,统体体积,113.09.10,2026-04-30
21382282,bulk weight,统体重,113.09.10,2026-04-30
21382283,bulkhead,挡土壁；端版；膈板；隔墙,113.04.25,2025-11-13
21382284,bunker,贮坑,113.04.25,2025-11-13
21382285,buoy,浮标,113.09.10,2026-04-30
21382286,buoyancy,浮力,113.09.10,2026-04-30
21382287,buoyant density,浸水密度 ,114.01.13,2025-11-13
21382288,buoyant foundation,浮筏基础,113.09.10,2026-04-30
21382289,buoyant unit weight,浸水单位重 ,113.09.10,2025-11-13
21382290,Burgers model,伯格斯模式,113.09.10,2026-04-30
21382291,buried karst,潜伏岩溶,113.09.10,2026-04-30
21382292,butt,对接,113.09.10,2026-04-30
21382293,buttress,扶壁；扶墙,113.09.10,2026-04-30
21382294,buttressed retaining wall,扶壁式挡土墙,113.09.10,2026-04-30
21382295,cable percussion boring,钢绳冲击钻探,113.09.10,2025-11-13
21382296,cable tool drill,钢绳冲击钻头,113.09.10,2025-11-13
21382297,cadastral plan,地籍图,113.09.10,2025-11-13
21382298,cadastral survey,地籍测量,113.09.10,2025-11-13
21382299,caisson,沉箱墙,113.09.10,2025-11-13
21382300,caisson foundation,沉箱基础,113.04.19,2025-11-13
21382301,caisson wall,沉箱墙,113.09.10,2025-11-13
21382302,calcareous concretion,钙质结核,113.09.10,2025-11-13
21382303,calcareous soil,石灰质土,113.09.10,2025-11-13
21382304,calcareous tufa,石灰华；钙华,113.09.10,2025-11-13
21382305,calcite,方解石,113.09.10,2025-11-13
21382306,calendar day,日历天,113.09.10,2025-11-13
21382307,calibration,标定；校准；校正,113.09.10,2026-04-30
21382308,California bearing ratio (CBR),加州承载比,113.09.10,2025-11-13
21382309,calorimetric method,量热法,113.09.10,2025-11-13
21382310,Cambrian,寒武纪；寒武系,113.09.10,2025-11-13
21382311,Cambridge model,剑桥模式,113.09.10,2025-11-13
21382312,cantilever footing,悬臂式基脚,113.09.10,2025-11-13
21382313,cantilever footpath,悬臂式步道,113.09.10,2025-11-13
21382314,cantilever pile,悬臂桩,113.09.10,2025-11-13
21382315,cantilever retaining wall,悬臂式挡土墙,113.09.10,2025-11-13
21382316,cantilever sheet pile,悬臂式板桩,113.09.10,2025-11-13
21382317,cantilever sheet pile wall,悬臂式板桩墙,113.09.10,2025-11-13
21382318,cap model,帽盖模式,113.09.10,2025-11-13
21382319,capblock,帽块,113.09.10,2025-11-13
21382320,capillarimeter,毛细管仪,113.09.10,2025-11-13
21382321,capillarity,毛细现象；毛细作用,114.01.13,2025-11-13
21382322,capillary action,毛细管作用,113.09.10,2025-11-13
21382323,capillary fringe,毛细水边缘,113.09.10,2025-11-13
21382324,capillary fringe zone,毛细边缘区,113.04.25,2025-11-13
21382325,capillary head,毛细水头,113.09.10,2025-11-13
21382326,capillary height,毛细水高度,113.09.10,2025-11-13
21382327,capillary migration,毛细水迁移,113.09.10,2025-11-13
21382328,capillary pressure,毛细水压力,113.09.10,2025-11-13
21382329,capillary tension,毛细张力,113.09.10,2025-11-13
21382330,capillary water,毛细水；毛细管水,113.09.10,2025-11-13
21382331,carbonaceous mudstone,钙质泥岩,113.09.10,2025-11-13
21382332,Carboniferous,石炭纪；石炭系,113.09.10,2025-11-13
21382333,cardboard drain,纸板排水,113.09.10,2025-11-13
21382334,cardhouse fabric,片架组构,113.09.10,2025-11-13
21382335,Carlson stress meter,卡尔森应力计,113.09.10,2025-11-13
21382336,Casagrande's soil classification,卡萨格兰德土壤分类法,113.09.10,2026-04-30
21382337,case history,案例实录,113.09.10,2025-11-13
21382338,case study,案例研究,113.09.10,2025-11-13
21382339,cased borehole,套管钻孔,113.09.10,2025-11-13
21382340,cased pile,套管桩,113.09.10,2025-11-13
21382341,casing,套管,113.09.10,2025-11-13
21382342,cast iron,铸铁,113.09.10,2025-11-13
21382343,cast-in anchor bolt,预埋锚栓,113.09.10,2025-11-13
21382344,casting,浇铸；铸件,113.09.10,2025-11-13
21382345,casting basin,浇注场；浇灌场,113.09.10,2025-11-13
21382346,casting yard,浇灌场,113.09.10,2026-04-30
21382347,cast-in-place pile,场铸桩,113.04.19,2025-11-13
21382348,cast-in-situ,现场浇注,113.09.10,2025-11-13
21382349,cast-in-situ pile,场铸桩,113.09.10,2025-11-13
21382350,cataclasis,碎裂作用,113.10.22,2025-11-13
21382351,cataclasite,碎裂岩,113.10.22,2025-11-13
21382352,cataclastic,碎裂岩石,113.10.22,2025-11-13
21382353,catch drain,截水沟,113.10.22,2025-11-13
21382354,catchment,集水区,113.10.22,2025-11-13
21382355,catchment area,集水面积,113.10.22,2025-11-13
21382356,catchpit,集水坑,113.10.22,2025-11-13
21382357,catchwater,引水道；排水沟,113.10.22,2025-11-13
21382358,categories of cost,成本类别,113.10.22,2025-11-13
21382359,cathodic protection,阴极防蚀,113.10.22,2025-11-13
21382360,cation exchange,阳离子交换,113.10.22,2025-11-13
21382361,cation exchange capacity,阳离子交换能力；阳离子交换量,114.01.13,2025-11-13
21382362,causative fault,致震断层,113.10.22,2025-11-13
21382363,cavern,洞穴；岩洞,113.10.22,2025-11-13
21382364,cavernous marble,多孔大理石,113.10.22,2025-11-13
21382365,cavernous rock,多孔岩石,113.10.22,2025-11-13
21382366,caving,坍落；坍孔,114.01.13,2025-11-13
21382367,cavity,模槽；孔洞；洞穴；洞；穴,113.10.22,2025-11-13
21382368,cavity expansion theory,孔穴扩张理论,113.10.22,2025-11-13
21382369,cell pressure,围压；腔压,113.10.22,2026-04-30
21382370,cellular bulkhead,格型岸壁,113.10.22,2025-11-13
21382371,cellular cofferdam,格型围堰,113.10.22,2025-11-13
21382372,cellular retaining wall,格状挡土墙,113.10.22,2025-11-13
21382373,cellular steel sheet pile,格状钢板桩,113.10.22,2025-11-13
21382374,cellular texture,格状纹理,113.10.22,2025-11-13
21382375,cement,水泥；胶结材料,113.10.22,2025-11-13
21382376,cement grouting,水泥灌浆,113.04.19,2025-11-13
21382377,cement injection,水泥灌注,113.10.22,2025-11-13
21382378,cement mortar,水泥砂浆,113.10.22,2025-11-13
21382379,cementation,胶结作用,113.10.22,2025-11-13
21382380,cemented soil,胶结土,113.10.22,2025-11-13
