ID,英文詞彙,中文詞彙,審譯日期,更新日期
21403082,accent tile,点缀砖；装饰砖,115.05.05,2026-06-29
21403083,acceptance,验收；允收,115.05.05,2026-06-29
21403084,acceptance plan,验收计划,115.05.05,2026-06-29
21403085,accepted bid,得标,115.05.05,2026-06-29
21403086,accepted engineering practice (AEP),工程惯例,115.05.05,2026-06-29
21403087,access eye,清洁口,115.05.05,2026-06-29
21403088,access floor,高架地板；活动地板,114.08.30,2026-06-29
21403089,access opening,出入开孔；维修孔；清洁孔,114.08.30,2026-06-29
21403090,accession,并入产权；附合取得,115.05.05,2026-06-29
21403091,accessory apartment,附属住宅单元；附属公寓,115.05.05,2026-06-29
21403092,accessory dwelling unit (ADU),附属住宅单元,115.05.05,2026-06-29
21403093,acclivity,上坡,115.05.05,2026-06-29
21403094,accommodation bridge,通行便桥;空桥,115.05.05,2026-06-29
21403095,accordion door,折叠门；手风琴门,115.05.05,2026-06-29
21403096,account receivable,应收帐款,115.05.05,2026-06-29
21403097,accrued asset,应计资产,115.05.05,2026-06-29
21403098,accrued depreciation,应计折旧,115.05.05,2026-06-29
21403099,accrued expense,应计费用,115.05.05,2026-06-29
21403100,accrued interest,应计利息,115.05.05,2026-06-29
21403101,accrued liability,应计负债,115.05.05,2026-06-29
21403102,accrued revenue,应计营收,115.05.05,2026-06-29
21403103,accumulated depreciation,累计折旧,115.05.05,2026-06-29
21403104,acetylene cylinder,乙炔钢瓶；乙炔筒,115.05.05,2026-06-29
21403105,acid attack,酸腐蚀,115.05.05,2026-06-29
21403106,acid etched glass,酸蚀玻璃,115.05.05,2026-06-29
21403107,acid pickling,酸洗,115.05.05,2026-06-29
21403108,acid polishing,酸磨光；酸抛光,115.05.05,2026-06-29
21403109,Ackerman steering,阿克曼转向,115.05.05,2026-06-29
21403110,acoustic absorptivity,吸音率；吸音性,115.05.05,2026-06-29
21403111,acoustic batt,隔音材,114.08.30,2026-06-29
21403112,acoustic ceiling board,吸音天花板,115.05.05,2026-06-29
21403113,acoustic construction,声学工程,115.05.05,2026-06-29
21403114,acoustic panel,吸音板,115.05.05,2026-06-29
21403115,acoustic plaster,吸音胶泥；吸音石膏,115.05.05,2026-06-29
21403116,acoustic tile,吸音砖,115.05.05,2026-06-29
21403117,acoustic transmission factor,传声因子,115.05.05,2026-06-29
21403118,acoustics,声学,114.08.30,2026-06-29
21403119,acroter,建筑顶端饰物；山墙饰物,115.05.05,2026-06-29
21403120,acrow prop,可调式钢管支撑,114.08.30,2026-06-29
21403121,acrylic lacquer paint,压克力漆,114.08.30,2026-06-29
21403122,actinic glass,光化玻璃,115.05.05,2026-06-29
21403123,actinic screen,光化屏幕,115.05.05,2026-06-29
21403124,action level,行动值,115.05.05,2026-06-29
21403125,activated aluminum,活性氧化铝；活性矾土,115.05.05,2026-06-29
21403126,activity oriented system,作业导向系统；活动导向系统,115.05.05,2026-06-29
21403127,actual cash value (ACV),实际现金价值,115.05.05,2026-06-29
21403128,actual eviction,实质驱离；强制驱离,115.05.05,2026-06-29
21403129,actual productive time,实际生产时间,115.05.05,2026-06-29
21403130,actuator,致动器；驱动器,115.05.05,2026-06-29
21403131,acultural vibration,非寻常振动,115.05.05,2026-06-29
21403132,ad valorem,从价,115.05.05,2026-06-29
21403133,ad valorem tax,从价税,115.05.05,2026-06-29
21403134,additive alternate,加项替代方案,115.05.05,2026-06-29
21403135,additive constant,加常数,115.05.05,2026-06-29
21403136,add-on interest,附加利息；加息,115.05.05,2026-06-29
21403137,addressable system,可定址系统,115.05.05,2026-06-29
21403138,adfreezing,黏冰作用；冰结,115.05.05,2026-06-29
21403139,adhesion failure,黏著失效；界面破坏,115.05.05,2026-06-29
21403140,adhesive rupture,黏著破裂,115.05.05,2026-06-29
21403141,adhesive strength,黏著强度,115.05.05,2026-06-29
21403142,adit,横坑,114.08.30,2026-06-29
21403143,adjoining owner,邻接土地所有权人,115.05.05,2026-06-29
21403144,adjustable attachment,可调式配件,115.05.05,2026-06-29
21403145,adjustable clamp,可调式夹具,115.05.05,2026-06-29
21403146,adjustable clevis hanger,可调式U型吊架,114.08.30,2026-06-29
21403147,adjustable rate mortgage (ARM),可调利率抵押贷款,113.10.01,2026-06-29
21403148,adjustable single-post shore,可调式单管支撑,115.05.05,2026-06-29
21403149,adjustable torque arm,可调式扭力臂,115.05.05,2026-06-29
21403150,adjustable wrench,活动扳手,115.05.05,2026-06-29
21403151,adjusted cost base (ACB),调整后成本基础,115.05.05,2026-06-29
21403152,adjusted tax basis,调整后课税基础,115.05.05,2026-06-29
21403153,adjuster,调节器；理赔员{保险},115.05.05,2026-06-29
21403154,admissible load,容许载重,115.05.05,2026-06-29
21403155,adsorber,吸附材料；吸附器,115.05.05,2026-06-29
21403156,advance splicer,管件接合器,115.05.05,2026-06-29
21403157,advanced regeneration,预进更新{林业}；先进再生,115.05.05,2026-06-29
21403158,advance-slope grouting,坡面灌浆；边坡前置灌浆,115.05.05,2026-06-29
21403159,adverse crown,反向路拱,115.05.05,2026-06-29
21403160,adverse slope,逆坡;反向坡,115.05.05,2026-06-29
21403161,aerial attack,空投灭火,115.05.05,2026-06-29
21403162,aerial work platform,高空作业车；高空作业平台,115.05.05,2026-06-29
21403163,aerocrete,加气混凝土,115.05.05,2026-06-29
21403164,Aerodynamics,空气动力学,115.05.05,2026-06-29
21403165,aerological investigation,气象调查,115.05.05,2026-06-29
21403166,affidavit,切结书,115.05.05,2026-06-29
21403167,affidavit of claim,索赔声明书；债权声明书,115.05.05,2026-06-29
21403168,affine strain,均匀应变,115.05.05,2026-06-29
21403169,A-frame,A型架构,115.05.05,2026-06-29
21403170,aft batter,后倾斜桩,115.05.05,2026-06-29
21403171,afterburner,后燃器,115.05.05,2026-06-29
21403172,afterglow,余烬,115.05.05,2026-06-29
21403173,age class,龄级,115.05.05,2026-06-29
21403174,age hardening,时效硬化,115.05.05,2026-06-29
21403175,aged residue (AR),老化残留｛沥青黏度等级｝,115.05.05,2026-06-29
21403176,aggregate base course (ABC),级配粒料底层｛道路｝,115.05.05,2026-06-29
21403177,aggregate bridging,骨材桥接｛混凝土｝,115.05.05,2026-06-29
21403178,aggregate cement ratio,骨材水泥比,115.05.05,2026-06-29
21403179,aggregate crushing value (ACV),骨材压碎值,115.05.05,2026-06-29
21403180,aggregate finish,骨材饰面,115.05.05,2026-06-29
21403181,aggregate limit of liability,赔偿限额总额｛保险｝,115.05.05,2026-06-29
21403182,aggregate operations liability,营运责任总额｛保险｝,115.05.05,2026-06-29
21403183,aggregated shipment,集运｛物流｝,115.05.05,2026-06-29
21403184,A-glass fiber,含碱玻璃纤维；A型玻璃纤维,115.05.05,2026-06-29
21403185,agroforestry,混农林业；农业森林学,115.05.05,2026-06-29
21403186,air atomization,空气雾化；气体雾化,115.05.05,2026-06-29
21403187,air blown asphalt,吹制沥青；气炼沥青,115.05.05,2026-06-29
21403188,air blown mortar,喷射砂浆；喷浆,115.05.05,2026-06-29
21403189,air bomb aging,加速老化,115.05.05,2026-06-29
21403190,air box,风箱；空气盒子,115.05.05,2026-06-29
21403191,air breather,呼吸阀；气阀,115.05.05,2026-06-29
21403192,air change,换气,115.05.05,2026-06-29
21403193,air changes per hour (ACH),换气率；每小时换气次数,115.05.05,2026-06-29
21403194,air check,截气阀,115.05.05,2026-06-29
21403195,air circulation,空气循环,115.05.05,2026-06-29
21403196,air classification,空气分类；空气分级,115.05.05,2026-06-29
21403197,air cleaner,空气清净机,115.05.05,2026-06-29
21403198,air contaminants,空气污染物,115.05.05,2026-06-29
21403199,air control suspension system,空气悬吊系统；气压控制悬吊系统,115.05.05,2026-06-29
21403200,air cooler,空气冷却器,115.05.05,2026-06-29
21403201,air cushion blasting,气垫爆破,115.05.05,2026-06-29
21403202,air detrainer,除气剂｛混凝土｝,115.05.05,2026-06-29
21403203,air detraining compound,除气剂｛混凝土｝,115.05.05,2026-06-29
21403204,air diffuser,空气扩散器；送风口,115.05.05,2026-06-29
21403205,air door,气门；气帘,115.05.05,2026-06-29
21403206,air drill,气动钻；气钻,115.05.05,2026-06-29
21403207,air dry loss,气干损失,115.05.05,2026-06-29
21403208,air emission,空气排放,115.05.05,2026-06-29
21403209,air escape,泄气阀,115.05.05,2026-06-29
21403210,air excavation,气动挖掘,115.05.05,2026-06-29
21403211,air grating,通风格栅,115.05.05,2026-06-29
21403212,air injection,空气喷射,115.05.05,2026-06-29
21403213,air jam,气动塞,115.05.05,2026-06-29
21403214,air leg,气腿｛钻机｝,115.05.05,2026-06-29
21403215,air leveling valve,空气水平阀,115.05.05,2026-06-29
21403216,air maintenance device (AMD),空气维护装置,115.05.05,2026-06-29
21403217,air motor,气动马达,115.05.05,2026-06-29
21403218,air oven aging,热空气老化；空气烘箱老化,115.05.05,2026-06-29
21403219,air pocket,气孔｛混凝土｝,115.05.05,2026-06-29
21403220,air register,空气调节器；风量调节器,115.05.05,2026-06-29
21403221,air reservoir,储气筒,115.05.05,2026-06-29
21403222,air restrictor,空气限制器；节气器,115.06.02,2026-06-29
21403223,air ride suspension,空气悬吊；气压悬吊,115.05.05,2026-06-29
21403224,air shifting,空气置换,115.06.02,2026-06-29
21403225,air slack,黏土潮解,115.06.02,2026-06-29
21403226,air suspension,空气悬吊；气压悬吊,115.05.05,2026-06-29
21403227,airchord,开关门控细绳,115.05.05,2026-06-29
21403228,air-cooled engine,气冷式引擎,115.05.05,2026-06-29
21403229,air-ground detection,空地侦测,115.05.05,2026-06-29
21403230,air-ride suspension,空气悬吊；气压悬吊,115.06.02,2026-06-29
21403231,airshaft,通气井,115.06.02,2026-06-29
21403232,airtight,气密,115.06.02,2026-06-29
21403233,Allen key,艾伦扳手；内六角扳手；六角匙,115.06.02,2026-06-29
21403234,all-in contract,总包契约,114.08.30,2026-06-29
21403235,allot,分配,115.05.05,2026-06-29
21403236,allowable compressive strength,容许抗压强度,114.08.30,2026-06-29
21403237,allowable tensile stress,容许张应力；容许拉应力,114.08.30,2026-06-29
21403238,aluminum extrusion,铝挤型,114.08.30,2026-06-29
21403239,aluminum slat ceiling,铝企口天花,114.08.30,2026-06-29
21403240,ambient lighting,环境照明,115.06.02,2026-06-29
21403241,amenity embankment,休憩堤岸；亲水护岸,114.08.30,2026-06-29
21403242,ammonium nitrate prill (AN prill),硝酸铵颗粒,115.06.02,2026-06-29
21403243,amount financed,融资额,113.10.01,2026-06-29
21403244,amount subject,预期损失价值｛保险｝,115.06.02,2026-06-29
21403245,amphitheater,露天剧场,115.06.02,2026-06-29
21403246,anchor bearing plate,锚碇承压钣,115.06.02,2026-06-29
21403247,anchor hitch,锚结；系船结,114.08.30,2026-06-29
21403248,andesite,安山岩,114.08.30,2026-06-29
21403249,andiron,壁炉柴架,115.06.02,2026-06-29
21403250,angle,角铁；角钢｛钢结构｝,115.05.05,2026-06-29
21403251,angle brace,角撑,115.06.02,2026-06-29
21403252,angle of internal friction,内摩擦角,114.08.30,2026-06-29
21403253,angle of lay,铺设角,115.06.02,2026-06-29
21403254,angle of wrap,接触角,115.06.02,2026-06-29
21403255,angle post,角柱,115.06.02,2026-06-29
21403256,angle rib,角肋,115.06.02,2026-06-29
21403257,angle staff,护角条,115.06.02,2026-06-29
21403258,angle tie,角系材,115.06.02,2026-06-29
21403259,angle tile,转角砖,115.06.02,2026-06-29
21403260,angle trowel,角镘刀,115.06.02,2026-06-29
21403261,angstrom,埃｛长度单位｝,115.06.02,2026-06-29
21403262,angularity,棱角性；倾斜度,115.06.02,2026-06-29
21403263,angularity number,棱角数,115.06.02,2026-06-29
21403264,angulated roping,成角系索；倾角系索,115.06.02,2026-06-29
21403265,animal glue,动物胶,115.06.02,2026-06-29
21403266,annealed steel,韧钢；退火钢,114.08.30,2026-06-29
21403267,annex,附属建物,115.05.05,2026-06-29
21403268,anticline,背斜层,114.08.30,2026-06-29
21403269,anti-mildew emulsion paint,防霉乳胶漆,114.08.30,2026-06-29
21403270,appraisal fee,鉴价费,113.10.01,2026-06-29
21403271,areostyle,4倍柱径以上间距排列｛古建筑｝；宽柱式,115.05.05,2026-06-29
21403272,articulated truck,铰接式卡车,114.08.30,2026-06-29
21403273,artificial turf,人工草皮,114.08.30,2026-06-29
21403274,asphaltic concrete friction course (ACFC),沥青混凝土摩擦层；沥青混凝土磨耗层,114.08.30,2026-06-29
21403275,assemble,组装；组立；组合,115.05.05,2026-06-29
21403276,assisting inspection personnel,协验人员,115.05.05,2026-06-29
21403277,assumable mortgage,可承担抵押贷款；可转让贷款,114.08.30,2026-06-29
21403278,at grade (A/G),同一平面；地面,114.08.30,2026-06-29
21403279,at-grade section,地面段,115.05.05,2026-06-29
21403280,attrition test,磨损试验,115.05.05,2026-06-29
21403281,audit conclusion,稽核结论,115.05.05,2026-06-29
21403282,audit criteria,稽核准则,115.05.05,2026-06-29
21403283,audit evidence,稽核证据,115.05.05,2026-06-29
21403284,audit finding,稽核发现,115.05.05,2026-06-29
21403285,audit plan,稽核计划,115.05.05,2026-06-29
21403286,audit programme,稽核计划；稽核方案,115.05.05,2026-06-29
21403287,audit scope,稽核范围,115.05.05,2026-06-29
21403288,audit team,稽核小组,115.05.05,2026-06-29
21403289,auditee,受稽核者,115.05.05,2026-06-29
21403290,authorized base price,授权底价；核定底价,115.05.05,2026-06-29
21403291,award of contract,决标,115.05.05,2026-06-29
21403292,awarded contract amount,决标金额,115.05.05,2026-06-29
21403293,bachelor dwelling unit (BDU),套房；单人型住宅单元,115.05.05,2026-06-29
21403294,back pay,补发薪资,115.05.05,2026-06-29
21403295,back-end system,后端处理系统,115.05.05,2026-06-29
21403296,backyard cottage,附属住宅单元；后院屋,115.05.05,2026-06-29
21403297,baking enamel,烤漆,114.08.30,2026-06-29
21403298,bank's written joint and several guarantee,银行书面连带保证,115.05.05,2026-06-29
21403299,batter,倾斜,114.08.30,2026-06-29
21403300,beam penetration,穿梁开孔,114.08.30,2026-06-29
21403301,bearing wall,承重墙,114.08.30,2026-06-29
21403302,bed rock,岩盘,114.08.30,2026-06-29
21403303,behind schedule,进度落后,115.05.05,2026-06-29
21403304,bench cut method,台阶开挖法,115.05.05,2026-06-29
21403305,bending formula,弯曲公式；挠曲公式,114.08.30,2026-06-29
21403306,Bernoulli equation,柏努利方程式,114.08.30,2026-06-29
21403307,bid abstract,投标摘要表；开标纪录表,115.05.05,2026-06-29
21403308,bid proposal,投标企划书,114.08.30,2026-06-29
21403309,bid submission deadline,投标截止期限,115.05.05,2026-06-29
21403310,Bids and Awards Committee (BAC),招标与决标委员会,115.05.05,2026-06-29
21403311,binder deposit,斡旋金,113.10.01,2026-06-29
21403312,binding wire,绑扎铁丝；扎筋铁丝,115.05.05,2026-06-29
21403313,bituminous seal coat,沥青封层,114.08.30,2026-06-29
21403314,block crack,块状裂缝,114.08.30,2026-06-29
21403315,blotter,吸附材料,114.08.30,2026-06-29
21403316,blue print,蓝图,114.08.30,2026-06-29
21403317,borrow,借方｛土方｝,114.08.30,2026-06-29
21403318,box column,中空箱型柱,114.08.30,2026-06-29
21403319,breaker panel,断路器面板；断路器盘,114.08.30,2026-06-29
21403320,brickie,砌砖工,114.08.30,2026-06-29
21403321,brightness,亮度；辉度,114.08.30,2026-06-29
21403322,budget amount,预算金额,115.05.05,2026-06-29
21403323,buffer strip,缓冲带,114.08.30,2026-06-29
21403324,building footprint,建筑占地面积；建筑基地；建筑物足迹,114.08.30,2026-06-29
21403325,building paper,建筑用纸；油毛纸,113.10.01,2026-06-29
21403326,build-operate-transfer (BOT),兴建-营运-移转,114.08.30,2026-06-29
21403327,build-out,装修工程,114.08.30,2026-06-29
21403328,build-own-operate (BOO),兴建-拥有-营运,114.08.30,2026-06-29
21403329,build-own-operate-transfer (BOOT),兴建-拥有-营运-移转,114.08.30,2026-06-29
21403330,build-transfer-operate (BTO),兴建-移转-营运,114.08.30,2026-06-29
21403331,built-up section,组合断面,114.08.30,2026-06-29
21403332,bushfire,森林大火,114.08.30,2026-06-29
21403333,businessowner's policy (BOP),企业主保单,115.05.05,2026-06-29
21403334,butterfly roof,蝴蝶式屋顶,114.08.30,2026-06-29
21403335,buttress,扶壁,114.08.30,2026-06-29
21403336,cable tray,缆线架,114.08.30,2026-06-29
21403337,calcium silicate board,矽酸钙板,114.08.30,2026-06-29
21403338,calendar day,日历天,114.08.30,2026-06-29
21403339,cantilevered void,悬臂式空间,114.08.30,2026-06-29
21403340,carpark,停车场,114.08.30,2026-06-29
21403341,carpet tile,方块地毯；地毯砖,114.08.30,2026-06-29
21403342,carpool lane,共乘车道,114.08.30,2026-06-29
21403343,carriageway,车道,114.08.30,2026-06-29
21403344,cast iron grate,铸铁盖,114.08.30,2026-06-29
21403345,catch-up plan,赶工计划,115.05.05,2026-06-29
21403346,catskinner,履带式机具操作员,114.08.30,2026-06-29
21403347,caulking sealant,填缝材,114.08.30,2026-06-29
21403348,cause and effect analysis diagram,特性要因图；鱼骨图,114.08.30,2026-06-29
21403349,cavity wall,空心墙；夹层墙,114.08.30,2026-06-29
21403350,ceiling joist,天花板托梁,113.10.01,2026-06-29
21403351,cement finish,水泥粉刷；水泥饰面,114.08.30,2026-06-29
21403352,center line of highway,公路中心线,114.08.30,2026-06-29
21403353,center of gravity of prestressing tendon,预力钢腱重心,114.08.30,2026-06-29
21403354,ceramic fritted glass,彩釉玻璃,114.08.30,2026-06-29
21403355,certification,认证,115.05.05,2026-06-29
21403356,certifier,认证人员,114.08.30,2026-06-29
21403357,chainage,桩号；里程,114.08.30,2026-06-29
21403358,check and accept of materials,材料验收,115.05.05,2026-06-29
21403359,cheek wall,颊墙；侧墙,115.05.05,2026-06-29
21403360,chemical polishing,化学磨光；化学抛光,115.05.05,2026-06-29
21403361,chevron,V型图样；V型标线,114.08.30,2026-06-29
21403362,chief inspector,主验人员,115.05.05,2026-06-29
21403363,chimney flashing,烟囱泛水,113.10.01,2026-06-29
21403364,chinking,填塞缝；修补缝,113.10.01,2026-06-29
21403365,chippie,木匠,114.08.30,2026-06-29
21403366,chromating,铬化表面处理,114.08.30,2026-06-29
21403367,clip ties,模板固定钢线,113.10.01,2026-06-29
21403368,closed bid,封闭式投标,114.08.30,2026-06-29
21403369,closing disclosure,最终贷款明细文件,113.10.01,2026-06-29
21403370,cluster analysis,集群分析,114.08.30,2026-06-29
21403371,coarse aggregate angularity (CAA),粗粒料棱角性,115.06.02,2026-06-29
21403372,co-borrower,共同贷款人,113.10.01,2026-06-29
21403373,cold air return,冷空气回风,113.10.01,2026-06-29
21403374,cold shell,毛胚屋；裸屋,114.08.30,2026-06-29
21403375,cold-in-place recycling (CIR),冷再生,114.08.30,2026-06-29
21403376,collar beam,维梁；系梁,114.08.30,2026-06-29
21403377,collar tie,屋架上系梁,113.10.01,2026-06-29
21403378,colluvium,崩积层,114.08.30,2026-06-29
21403379,color range standard,色域标准,114.08.30,2026-06-29
21403380,column cover and spandrel system,窗间墙系统｛帷幕墙｝,114.08.30,2026-06-29
21403381,combined services drawing (CSD),机电设备整合图,114.08.30,2026-06-29
21403382,combustion air,进气通风,113.10.01,2026-06-29
21403383,common duct,共同管道,115.05.05,2026-06-29
21403384,compaction grouting,挤压灌浆；压实灌浆,115.05.05,2026-06-29
21403385,complaint settlement entity,客诉解决单位,115.05.05,2026-06-29
21403386,completion of work,竣工,115.05.05,2026-06-29
21403387,compression web,承压腹杆｛桁架｝,113.10.01,2026-06-29
21403388,concrete board,混凝土板,113.10.01,2026-06-29
21403389,concrete finish,清水混凝土；混凝土饰面,114.08.30,2026-06-29
21403390,concrete flowability,混凝土流动性,115.05.05,2026-06-29
21403391,concrete grouted rock (CGR),混凝土砌石,114.08.30,2026-06-29
21403392,concrete honeycomb,混凝土蜂窝,114.08.30,2026-06-29
21403393,concrete screed,混凝土整平,114.08.30,2026-06-29
21403394,condensing unit,冷凝单元,113.10.01,2026-06-29
21403395,"Conditions, Covenants, and Restrictions (CC & Rs)",住户规约；社区规约,113.10.01,2026-06-29
21403396,conduction,传导；导热,113.10.01,2026-06-29
21403397,conference room,会议室,114.08.30,2026-06-29
21403398,confined space,局限空间,115.05.05,2026-06-29
21403399,conformance of verbal instruction (CVI),口头指示确认,114.08.30,2026-06-29
21403400,corner strut,角撑,113.10.01,2026-06-29
21403401,consistency of concrete,混凝土稠度,114.08.30,2026-06-29
21403402,construction essentials,施工要领,115.05.05,2026-06-29
21403403,construction execution form,施工执行资料表,115.05.05,2026-06-29
21403404,construction management organization,营建管理组织,115.05.05,2026-06-29
21403405,construction residual soil treatment plant,营建土资场,114.08.30,2026-06-29
21403406,construction supervision,施工监造,115.05.05,2026-06-29
21403407,construction supervision unit,施工监造单位,115.05.05,2026-06-29
21403408,construction surveillance,施工监督,115.05.05,2026-06-29
21403409,construction surveillance unit,施工监督单位,115.05.05,2026-06-29
21403410,construction work,营建工作,115.05.05,2026-06-29
21403411,constructional equipment,施工设备,115.05.05,2026-06-29
21403412,continual improvement,持续改善,115.05.05,2026-06-29
21403413,continual power system,连续供电系统,114.08.30,2026-06-29
21403414,continuity tester,导电测试仪,113.10.01,2026-06-29
21403415,contract assignment,契约转让,115.05.05,2026-06-29
21403416,contract completion date,履约期限,115.05.05,2026-06-29
21403417,contract item,契约工项,115.05.05,2026-06-29
21403418,contract number,契约编号,115.05.05,2026-06-29
21403419,contract signing date,签约日期,115.05.05,2026-06-29
21403420,conventional loan,常规贷款；非由政府提供之抵押贷款,113.10.01,2026-06-29
21403421,convertibility,转换性；兑换性,113.10.01,2026-06-29
21403422,coping,笠木；墙顶收边,114.08.30,2026-06-29
21403423,corner bead,泥作收边条,113.10.01,2026-06-29
21403424,corner board,转角板,113.10.01,2026-06-29
21403425,corner brace,角撑,114.08.30,2026-06-29
21403426,cosigner,共同签署人,113.10.01,2026-06-29
21403427,cost of service,服务成本,115.05.05,2026-06-29
21403428,cost validation,成本验证,114.08.30,2026-06-29
21403429,cost verification,成本确认,114.08.30,2026-06-29
21403430,cost-reimbursement contract,成本加公费契约；成本加酬契约,114.08.30,2026-06-29
21403431,custom house,客制屋,115.06.23,2026-06-29
21403432,counterfort,扶壁,113.10.01,2026-06-29
21403433,countersunk screw,埋头螺丝,114.08.30,2026-06-29
21403434,cove molding,天花板凹角收边；凹角收边,113.10.01,2026-06-29
21403435,crash cost,赶工成本,114.08.30,2026-06-29
21403436,crawl space,基础爬行空间,113.10.01,2026-06-29
21403437,credit history,信用记录,113.10.01,2026-06-29
21403438,credit rating,信用评等,113.10.01,2026-06-29
21403439,credit report,信用报告,113.10.01,2026-06-29
21403440,crib retaining wall,条框式挡土墙,114.08.30,2026-06-29
21403441,cripple,支撑短柱,113.10.01,2026-06-29
21403442,criteria pollutant,基准污染物,115.05.05,2026-06-29
21403443,cross bridging,版梁交错斜撑,113.10.01,2026-06-29
21403444,cross tee,小型金属T梁｛天花板轻钢架｝,113.10.01,2026-06-29
21403445,load arresting gear,过负荷防止装置,115.05.05,2026-06-29
21403446,crown molding,天花板冠饰收边；冠饰收边,113.10.01,2026-06-29
21403447,cupping,木板反翘,113.10.01,2026-06-29
21403448,curb stop,路缘止挡；路缘制水阀,113.10.01,2026-06-29
21403449,cut-in brace,嵌入式侧撑,113.10.01,2026-06-29
21403450,dado,嵌槽,113.10.01,2026-06-29
21403451,daily payment,按日计酬,115.05.05,2026-06-29
21403452,date of commencement of work,开工日,115.05.05,2026-06-29
21403453,date of inviting suppliers to tender,邀标日,115.05.05,2026-06-29
21403454,date of publishing a notice,公告日,115.05.05,2026-06-29
21403455,dead light,固定窗,113.10.01,2026-06-29
21403456,deadbolt,辅助锁,113.10.01,2026-06-29
21403457,debt ratio,负债比率,113.10.01,2026-06-29
21403458,declining balance method,余额递减折旧法,115.05.05,2026-06-29
21403459,deductive alternate,减项替代方案,115.05.05,2026-06-29
21403460,deed in lieu of foreclosure,终止赎回权替代契约,113.10.01,2026-06-29
21403461,default,违约；不履行,113.10.01,2026-06-29
21403462,default penalty,违约金,114.08.30,2026-06-29
21403463,dehumidistat,除湿控制器,113.10.01,2026-06-29
21403464,demand feature,要求立即清偿条款,113.10.01,2026-06-29
21403465,demolition materials received,拆收料,115.05.05,2026-06-29
21403466,demolition permit,拆除许可,114.08.30,2026-06-29
21403467,density index,密度指数,114.08.30,2026-06-29
21403468,Department of Housing and Urban Development (HUD),住宅及都市发展局,113.10.01,2026-06-29
21403469,depreciation reserve,折旧准备,115.05.05,2026-06-29
21403470,design contest,设计竞赛,115.05.05,2026-06-29
21403471,"design, construction and function test (DCFT)",设计施工与功能测试,114.08.30,2026-06-29
21403472,designated contract,关连契约；指定契约,115.05.05,2026-06-29
21403473,designated deadline,限期完成；限期完工,115.05.05,2026-06-29
21403474,designed ground level (DGL),设计地面高程｛工程图｝,114.08.30,2026-06-29
21403475,diastyle,3倍柱径间距排列｛古建筑｝,115.05.05,2026-06-29
21403476,discriminant analysis,区别分析；判别分析,114.08.30,2026-06-29
21403477,dispute settlement entity,争议处理机构,115.05.05,2026-06-29
21403478,door and window schedule (D&W schedule),门窗表；门窗明细表,114.08.30,2026-06-29
21403479,door operator,门开关器,113.10.01,2026-06-29
21403480,door slab,门板；门片,114.08.30,2026-06-29
21403481,doorknob,门把；门把锁,113.10.01,2026-06-29
21403482,doorstop,门挡；制门器,113.10.01,2026-06-29
21403483,dormer,屋顶窗；老虎窗,113.10.01,2026-06-29
21403484,double glass,双层玻璃,113.10.01,2026-06-29
21403485,double packer grouting,双环塞灌浆,115.05.05,2026-06-29
21403486,downturn,下卷版,114.08.30,2026-06-29
21403487,drain tile,排水盲沟；排水瓦管,113.10.01,2026-06-29
21403488,drain-waste-vent system  (DWV system),排水通气系统,113.10.01,2026-06-29
21403489,driller,钻掘机,115.05.05,2026-06-29
