ID,英文詞彙,中文詞彙,更新日期
21370318,beam mould,梁样板,2025-06-24
21370319,bearding,交合线；切削边缘；榫,2025-06-24
21370320,bearding angle,船艏交合角材；船艏柱与龙骨的接合角材,2026-05-11
21370321,bearer,承座；托架；载体,2025-06-24
21370322,bearing distance computer,方位距离计算机,2026-05-11
21370323,bed log,机床撑木,2025-06-24
21370324,bedding component,基底黏胶,2025-06-24
21370325,belly of the deck,拱高,2025-06-24
21370326,belting,防摩板条,2025-06-24
21370327,bending damping,弯曲阻尼,2025-06-24
21370328,benzene,苯,2025-06-24
21370329,benzene sulphonyl chloride,苯磺醯氯,2025-06-24
21370330,benzyl alcohol,苯甲醇,2025-06-24
21370331,benzyl chloride,苯甲氯,2025-06-24
21370332,berth deck,住舱甲板；居住甲板；炮座甲板,2025-06-24
21370333,berth dues,停泊费,2025-06-24
21370334,beta-propiolactone,β丙内酯,2025-06-24
21370335,graving pieces,修补木料,2026-05-11
21370336,binary digital computer,二进制数字计算机；二进位数位电脑,2025-06-24
21370337,binary-coded decimal (BCD),二进码十进数；二 - 十进位编码,2025-06-24
21370338,blind navigation,盲目航行；仪表导航法,2025-06-24
21370339,bloomer,荣景派；大器晚成派；晚成论者,2025-06-24
21370340,blow out preventer (BOP),防喷泄气阀{钻油井},2025-06-24
21370341,blowout simulator,井喷模拟器,2025-06-24
21370342,boardroom excutives,董事会执行人员,2025-06-24
21370343,boat anchor,船锚；小艇锚；舢板锚,2025-06-24
21370344,bomb-proof protective deck,耐炸弹防护甲板,2025-06-24
21370345,bond port,首靠港；第一停靠港,2025-06-24
21370346,bonded warehouse,保税仓库,2025-06-24
21370347,booms deck,吊杆甲板,2025-06-24
21370348,Boss anchor,大爪锚；博斯锚,2025-06-24
21370349,bottom bounce,海底反弹{声波、爆震波},2025-06-24
21370350,bottom up processing,由下而上的资讯处理过程；由下而上的资讯处理 ,2025-06-24
21370351,boundary element mesh,边界元素网格,2025-06-24
21370352,boundary integral equation method,边界积分方程法,2025-06-24
21370353,box girder deck,箱形桁甲板,2025-06-24
21370354,breakbulk,零散货,2025-06-24
21370355,breast anchor,舷锚,2025-06-24
21370356,bridge visibility,驾驶室能见度,2025-06-24
21370357,broker,经纪人,2025-06-24
21370358,Bruce anchor,布鲁士锚{一种专利大抓力锚},2025-06-24
21370359,bubble pulse,气泡脉冲,2025-06-24
21370360,built-in minor structure,嵌入式次要结构,2025-06-24
21370361,bulb flat,球缘扁钢；球缘型材,2026-05-14
21370362,bulkhead deck at side,船侧舱壁甲板,2025-06-24
21370363,bumblebee,噪音器；大黄蜂,2025-06-24
21370364,buoy deck,浮筒甲板,2025-06-24
21370365,burial anchor,埋入锚；埋入水底锚,2025-06-24
21370366,burn-off rate,熔融速率,2025-06-24
21370367,business network international (BNI),国际网路商会；国际商业网路平台,2025-06-24
21370368,business requirement document (BRD),商业需求文档,2025-06-24
21370369,butt-seam welding,对接缝銲接,2025-06-24
21370370,buttwelded joint,对接銲接头,2025-06-24
21370371,butyl benzyl phthalate,磷苯二甲酸苄；磷苯二甲酸丁苄酯,2025-06-24
21370372,butyl methacrylate,甲基丙烯酸丁酯,2025-06-24
21370373,butyl/decyl/cetyl/eicosyl/methacrylate mixture,甲基/丙烯酸/丁酯/癸酯/十六酯/二十酯混合物,2025-06-24
21370374,butylamine,丁胺；正丁胺,2025-06-24
21370375,butyric acid,丁酸,2025-06-24
21370376,byte computer,位元计算机；字节计算机,2025-06-24
21370377,C４ISR+combat systems (C５ISR),指管通资情监侦及作战系统,2025-06-24
21370378,C４ISR+target acquisition (C４ISTAR),指管通资情监侦及目标定位,2025-06-24
21370379,cabin deck,住舱甲板；起居甲板,2025-06-24
21370380,calcareous organism,含钙{海}生物,2025-06-24
21370381,calcium hypochlorite solution,次氯酸钙溶液,2025-06-24
21370382,calcium naphthenate,环烷酸钙,2025-06-24
21370383,camphor oil,樟脑油,2025-06-24
21370384,canted flight deck,{航母}斜角飞行甲板,2025-06-24
21370385,capacitive pressure sensor,电容式压力感测器,2025-06-24
21370386,capping run,表面道,2025-06-24
21370387,car stowage deck,停车甲板；车辆装载甲板,2025-06-24
21370388,carbolic oil,碳酸油,2025-06-24
21370389,carbon credit,碳权,2025-06-24
21370390,carbon disulphide,二硫化碳,2025-06-24
21370391,carbon emission credit,碳排放权；碳排放额度,2025-06-24
21370392,carbon tetrachloride,四氯化碳,2025-06-24
21370393,card-programmed computer,卡片程式化电脑；穿孔卡程序计算机,2025-06-24
21370394,cargo deck,载货甲板,2025-06-24
21370395,cargo space,装货空间；货舱；载货舱位；载货容积,2025-06-24
21370396,cargo-carrying capacity (cargo capacity),载货量；货舱容量,2025-06-24
21370397,cargo-carrying cubic capacity,载货容量,2025-06-24
21370398,cargo-generating capacity,揽货能力,2025-06-24
21370399,carrier gas,载送气体,2025-06-24
21370400,carrying capacity,载运量；载重量；载货量；承载能力；载流容量{电力},2025-06-24
21370401,cashew nut shell liquid (CNSL),腰果壳液,2025-06-24
21370402,cashew nut shell oil,腰果壳油；槚如坚果壳油,2025-06-24
21370403,catapult device,弹射机构,2025-06-24
21370404,catapult extension chamber,弹射器伸展腔,2025-06-24
21370405,catapult holdback arms,弹射器保险装置弯杆,2025-06-24
21370406,catapult holdback fitting,弹射器保险装置接头,2025-06-24
21370407,catapult hook,弹射挂钩,2025-06-24
21370408,catapult installation,弹射装置,2025-06-24
21370409,catapult keel,{飞机}弹射装置加强梁,2025-06-24
21370410,catapult launcher,弹射起飞装置,2025-06-24
21370411,catapult launching,弹射器发射；起飞喷射装置,2025-06-24
21370412,catapult model test,弹射模型试验,2025-06-24
21370413,catapult passage,飞机弹射道,2025-06-24
21370414,catapult trough,弹射槽,2025-06-24
21370415,catapultable fleet fighter,弹射起飞的海军战斗机,2025-06-24
21370416,catapulted aircraft,弹射起飞的飞机,2025-06-24
21370417,catapulting speed,弹射速率,2025-06-24
21370418,catapulting test,弹射试验,2025-06-24
21370419,cattle deck,牲口甲板,2025-06-24
21370420,causal-feedback,因果回馈,2025-06-24
21370421,ceiling effect,天花板效应；高限效应,2025-06-24
21370422,celestial guidance,天文导向,2025-06-24
21370423,celestial navigation,天文航海；天文导航法,2025-06-24
21370424,celestial navigation computer,天文导航电脑,2025-06-24
21370425,cellar deck,窖层甲板{钻油台}；{平台的}底层甲板；泥浆净化甲板,2025-06-24
21370426,center anchor,船艏柱锚,2025-06-24
21370427,central processing computer,中央数据处理计算机,2025-06-24
21370428,cetyl/eicosyl methacrylate mixture,甲基丙烯酸十六-二十甘酯,2026-05-11
21370429,chaff simulator,干扰物模拟器,2025-06-24
21370430,chain trough,锚炼导槽,2025-06-24
21370431,chain-drag-loop anchor,制动链锚,2025-06-24
21370432,channel navigation,水道航行法；水道航行,2025-06-24
21370433,characteristic extreme value,特征极值,2025-06-24
21370434,characteristic period,特征周期,2025-06-24
21370435,Chat Generative Pre-trained Transformer (chat GPT),聊天生成式预训练转换器,2025-06-24
21370436,check list,查核表；核验清单；核验表；核对表；检查单；查验表；检核表,2025-06-24
21370437,checkered deck,防滑甲板；防滑花格甲板；花纹甲板,2025-06-24
21370438,chinese landing,逆靠；顺流靠泊,2025-06-24
21370439,chloroacetic acid,氯醋酸；氯乙酸,2025-06-24
21370440,chlorobenzene,氯苯,2025-06-24
21370441,chloroform,三氯甲烷,2025-06-24
21370442,chlorosulphonic acid,氯磺酸,2025-06-24
21370443,chlorotoluene,氯甲苯,2025-06-24
21370444,circle deck,{炮塔}旋回台,2025-06-24
21370445,close stowing anchor,有杆转爪锚；马丁锚；紧密收藏锚,2025-06-24
21370446,cloud computing service model,云端运算服务模型；云端运算部署模式,2025-06-24
21370447,cloud-based hub,云端基汇集中心,2025-06-24
21370448,coal tar naphtha solvent,煤焦油石脑溶剂,2025-06-24
21370449,coast guard patrol,海岸防卫巡逻,2025-06-24
21370450,coastwise navigation,沿海航行法；沿海航行,2025-06-24
21370451,coated deck,覆盖甲板；涂敷甲板,2025-06-24
21370452,coating technical file (CTF),涂层技术档案,2025-06-24
21370453,coffee personality test,咖啡心理测验,2025-06-24
21370454,cognitive dissonance theory,认知失调理论,2025-06-24
21370455,cognitive psychology,认知心理学,2025-06-24
21370456,cold cracking test,冷裂试验,2025-06-24
21370457,cold navigation,冷行{鱼雷入水后发动机未点著火仅靠压缩空气或惯性力所作的航行},2025-06-24
21370458,collapsible anchor,可倒式锚；可折式锚,2025-06-24
21370459,collapsible boat anchor,可折式小艇锚；可折式小艇锚,2025-06-24
21370460,collection of smart devices,聪颖设施总成；聪颖设施集成；智能设施集成,2025-06-24
21370461,command system simulator,指挥系统模拟器,2025-06-24
21370462,command、control、communications、computers、intelligence、surveillance、reconnaissance (C４ISR),指挥、管制、通信、资讯、情报、监视、侦查； 指管通资情监侦,2025-06-24
21370463,common anchor,普通有杆锚；普通锚,2025-06-24
21370464,Common Structural Rules (CSR),结构共同规范,2025-06-24
21370465,compatible computer,相容计算机；相容电脑,2025-06-24
21370466,competitiveness,竞争力,2025-06-24
21370467,compiling computer,编译电脑,2025-06-24
21370468,complex frequency,复频；复数频率；复合频率,2025-06-24
21370469,computer integrated production management system (CIPMS),电脑整合生产管理系统,2025-06-24
21370470,computerized navigation,计算机导航；电脑化导航,2025-06-24
21370471,concurrent computer,并行计算机；并行操作计算机；同作电脑；同作计算机,2025-06-24
21370472,conditional probability,条件机率,2025-06-24
21370473,conductivity temperature depth (CTD),盐温深仪,2025-06-24
21370474,cone anchor,浮锚；流锚；海锚,2025-06-24
21370475,confederate,假的参加者；连累者,2025-06-24
21370476,confusion matrix,混淆矩阵,2025-06-24
21370477,consistent underestimate,一致性低估,2025-06-24
21370478,constrained autonomous control system,局限型自主控制系统,2025-06-24
21370479,constrained autonomous ship,局限型自主船,2025-06-24
21370480,construction delay,工期延误,2025-06-24
21370481,container deck,货柜甲板,2025-06-24
21370482,container space,货柜舱位,2025-06-24
21370483,continuously unmanned ship (CUS),持续型无人船,2025-06-24
21370484,control center deck,控制中心甲板,2025-06-24
21370485,control computer,控制电脑,2025-06-24
21370486,control element,控制元件,2025-06-24
21370487,control  processing  display computer (CPDC),控制、数据处理及影像显示电脑,2026-05-11
21370488,control-room simulator,控制室模拟器,2025-06-24
21370489,conventional anchor,常规锚；传统式锚,2025-06-24
21370490,cooling time,冷却时间,2025-06-24
21370491,cornucopia sea anchor,聚宝盆式海锚,2025-06-24
21370492,corporate resources,共同资源,2025-06-24
21370493,cosmetic pass,整形道,2025-06-24
21370494,cosmetic run,整形道,2025-06-24
21370495,counter attitudinal behavior,反态度行为,2025-06-24
21370496,coupled bending and torsion vibration,弯扭耦合振动；弯扭偶合振动,2025-06-24
21370497,coupled FE-BE method,耦合有限元-边界元法；偶合有限元素-边界元素法,2026-05-11
21370498,coupled FE-HIE method,耦合有限元素-亥姆霍兹积分方程法；偶合有限元素-亥姆霍兹积分方程法,2026-05-11
21370499,coupled finite-element-boundary-element method,耦合有限元-边界元法；偶合有限元素-边界元素法,2026-05-11
21370500,coupled finite-element-Helmholtz integral equation method,耦合有限元素-亥姆霍兹积分方程法；偶合有限元素-亥姆霍兹积分方程法,2026-05-11
21370501,course and speed computer,航向航速计算机,2025-06-24
21370502,course line computer,航线计算机,2025-06-24
21370503,crack growth rate curve,裂缝成长率曲线,2025-06-24
21370504,crack growth resistance curve (R-curve),抗裂韧度曲线,2025-06-24
21370505,crack length,裂缝长度,2025-06-24
21370506,creational pattern,创建型模式,2025-06-24
21370507,cresol,甲酚,2025-06-24
21370508,critical crack length,临界裂缝长度,2025-06-24
21370509,critical parameter,关键参数,2025-06-24
21370510,cross hawse,锚链绞缠；180˚绞花{抛双锚时船身旋转180˚},2025-06-24
21370511,crotonaldehyde,巴豆醛；二丁烯醛,2025-06-24
21370512,crowned deck,梁拱甲板,2025-06-24
21370513,cruciform joint,十字接头,2025-06-24
21370514,crude chlorohydrin,粗制氯乙醇,2025-06-24
21370515,crustal movement survey,地壳移动调查,2025-06-24
21370516,cumulative probability function,累积机率函数,2026-05-14
21370517,cutch timber,{支撑横梁端或木条甲板末端之}水平材,2025-06-24
21370518,cut-off computer,断流计算机；截止计算机；开关计算机；开关计数器,2025-06-24
21370519,cyber physical system (CPS),信息物理系统,2025-06-24
21370520,cyber space technology,网路空间技术,2025-06-24
21370521,cyclohexane,环己烷,2025-06-24
21370522,cyclohexanol,环己醇,2025-06-24
21370523,cyclohexanone,环己酮,2025-06-24
21370524,cyclohexylamine,环己胺,2025-06-24
21370525,Danforth anchor,丹佛斯锚；燕尾锚,2025-06-24
21370526,data accuracy,资料精度,2025-06-24
21370527,data acquisition method,量测资料撷取方法,2025-06-24
21370528,data bus,资料汇流排,2025-06-24
21370529,data computer,电脑数据存储器；数据计算机,2025-06-24
21370530,data format,资料格式,2025-06-24
21370531,data processing,资料处理；资料处理作业,2025-06-24
21370532,data processing and calibration,资料处理与校正,2025-06-24
21370533,data processing unit (DPI),数据处理器,2025-06-24
21370534,data standardization,资料标准化,2025-06-24
21370535,data-driven welding,数据驱动銲接,2025-06-24
21370536,dead reckoning,船位推测法；航位推测法,2025-06-24
21370537,dead reckoning computer,船位推算计算机；航位推算计算机,2025-06-24
21370538,deadline anchor,限位锚,2025-06-24
21370539,dead-reckoning navigation,航位推测法；船位推算航行法；航迹绘算导航{图},2025-06-24
21370540,deadweight anchor,自重锚,2025-06-24
21370541,Decca navigation,迪卡导航法,2025-06-24
21370542,decene,癸烯,2025-06-24
21370543,decimal computer,十进制计算机,2025-06-24
21370544,decision support system,决策支援系统 (局限型自动化),2025-06-24
21370545,deck area,甲板面积,2026-05-14
21370546,deck at side,甲板边线{船图结构模线},2025-06-24
21370547,deck hawse,甲板锚链孔,2025-06-24
21370548,deck in bunting,{船上}挂满旗帜,2025-06-24
21370549,deckhouse deck,甲板室甲板；舱室甲板,2025-06-24
21370550,decyl acrylate,丙烯酸苯酯,2025-06-24
21370551,decyl alcohol,癸醇,2025-06-24
21370552,deduction factor,减额因子；修减因子,2025-06-24
21370553,deep penetration throat thickness,喉深渗透深度,2025-06-24
21370554,deep water simulator,深水模拟器,2025-06-24
21370555,deepsea anchor,深水锚,2025-06-24
21370556,deepwater anchor,深水锚,2025-06-24
21370557,degaussing computer,消磁系统计算机；消磁电脑,2025-06-24
21370558,degration,减低；退化；降级；衰变 ；下降；软化,2025-06-24
21370559,delayed works,工程延误,2025-06-24
21370560,Delta-Flipper Flipper anchor (Flipper-Delta anchor),三角鳍式锚{一种大抓力锚},2025-06-24
21370561,Dennis anchor,丹尼斯锚,2025-06-24
21370562,dent,凹痕；压痕；凹部；齿 {齿轮},2025-06-24
21370563,deposit thickness,熔填厚度；渗透深度 ,2025-06-24
21370564,deposition ratio,熔填速率,2025-06-24
21370565,depth navigation,水深定位航行法,2025-06-24
21370566,depth sensor,下潜深度感测器；测深计,2025-06-24
21370567,depth simulator,深度模拟器,2025-06-24
21370568,design activity,设计活动,2025-06-24
21370569,design analysis,设计分析,2025-06-24
21370570,design criterion,设计准则；设计基准；设计标准,2025-06-24
21370571,design description,设计描述；设计说明书；设计规格,2025-06-24
21370572,design evaluation,设计评估；设计评价,2025-06-24
21370573,design for manufacture (DFM),可制造性设计,2025-06-24
21370574,design for safety (DFS),安全设计,2025-06-24
21370575,design formulation,设计构思形成,2025-06-24
21370576,design guide,设计指南；设计指引,2025-06-24
